"production","date","capacity","gross","nominations","wins","type","year"
"110-in-the-shade-423558",2007-06-17,91,361312,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-03,88,344604,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-01,88,352681,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-15,93,410515,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-10,90,361440,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-29,81,302978,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-08,84,338931,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-15,77,197785,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-22,80,323984,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-27,86,351224,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-06,83,203869,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-24,85,349945,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-22,76,262544,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-13,74,297228,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-20,85,349113,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-29,90,361161,5,0,"Musical","2007"
"1776-4754",1998-06-07,60,284019,3,0,"Musical","1998"
"1776-4754",1998-06-14,89,438896,3,0,"Musical","1998"
"1776-4754",1997-07-20,98,150045,3,0,"Musical","1998"
"1776-4754",1997-07-27,100,174787,3,0,"Musical","1998"
"1776-4754",1997-08-03,100,171818,3,0,"Musical","1998"
"1776-4754",1997-08-10,98,162952,3,0,"Musical","1998"
"1776-4754",1997-08-17,87,150195,3,0,"Musical","1998"
"1776-4754",1997-08-24,99,169771,3,0,"Musical","1998"
"1776-4754",1997-08-31,100,188482,3,0,"Musical","1998"
"1776-4754",1997-09-07,99,169175,3,0,"Musical","1998"
"1776-4754",1997-09-14,100,170616,3,0,"Musical","1998"
"1776-4754",1997-09-21,98,164297,3,0,"Musical","1998"
"1776-4754",1997-09-28,97,181907,3,0,"Musical","1998"
"1776-4754",1997-10-05,95,190666,3,0,"Musical","1998"
"1776-4754",1997-10-12,99,190793,3,0,"Musical","1998"
"1776-4754",1997-10-19,98,186468,3,0,"Musical","1998"
"1776-4754",1997-10-26,97,201666,3,0,"Musical","1998"
"1776-4754",1997-11-02,98,213452,3,0,"Musical","1998"
"1776-4754",1997-11-09,98,216314,3,0,"Musical","1998"
"1776-4754",1997-11-16,99,215808,3,0,"Musical","1998"
"1776-4754",1997-12-07,75,363216,3,0,"Musical","1998"
"1776-4754",1997-12-14,78,362391,3,0,"Musical","1998"
"1776-4754",1997-12-21,84,381399,3,0,"Musical","1998"
"1776-4754",1997-12-28,75,587629,3,0,"Musical","1998"
"1776-4754",1998-01-04,72,537899,3,0,"Musical","1998"
"1776-4754",1998-01-11,73,366108,3,0,"Musical","1998"
"1776-4754",1998-01-18,88,421761,3,0,"Musical","1998"
"1776-4754",1998-01-25,68,350242,3,0,"Musical","1998"
"1776-4754",1998-02-01,71,375979,3,0,"Musical","1998"
"1776-4754",1998-02-08,53,282785,3,0,"Musical","1998"
"1776-4754",1998-02-15,79,492734,3,0,"Musical","1998"
"1776-4754",1998-02-22,67,415343,3,0,"Musical","1998"
"1776-4754",1998-03-01,62,346793,3,0,"Musical","1998"
"1776-4754",1998-03-08,61,361043,3,0,"Musical","1998"
"1776-4754",1998-03-15,67,377388,3,0,"Musical","1998"
"1776-4754",1998-03-22,69,416406,3,0,"Musical","1998"
"1776-4754",1998-03-29,66,391505,3,0,"Musical","1998"
"1776-4754",1998-04-05,57,308216,3,0,"Musical","1998"
"1776-4754",1998-04-12,54,305656,3,0,"Musical","1998"
"1776-4754",1998-04-19,71,427784,3,0,"Musical","1998"
"1776-4754",1998-04-26,62,352927,3,0,"Musical","1998"
"1776-4754",1998-05-03,58,341207,3,0,"Musical","1998"
"1776-4754",1998-05-10,50,272014,3,0,"Musical","1998"
"1776-4754",1998-05-17,57,287177,3,0,"Musical","1998"
"1776-4754",1998-05-24,61,314051,3,0,"Musical","1998"
"1776-4754",1998-05-31,54,236009,3,0,"Musical","1998"
"1984-513416",2017-05-28,75,298438,1,0,"Play","2018"
"1984-513416",2017-06-04,67,282053,1,0,"Play","2018"
"1984-513416",2017-07-16,75,382755,1,0,"Play","2018"
"1984-513416",2017-07-23,76,396758,1,0,"Play","2018"
"1984-513416",2017-07-30,74,381259,1,0,"Play","2018"
"1984-513416",2017-08-06,68,340889,1,0,"Play","2018"
"1984-513416",2017-08-13,69,335041,1,0,"Play","2018"
"1984-513416",2017-08-20,60,281481,1,0,"Play","2018"
"1984-513416",2017-08-27,58,267344,1,0,"Play","2018"
"1984-513416",2017-09-03,60,291069,1,0,"Play","2018"
"1984-513416",2017-09-10,57,292803,1,0,"Play","2018"
"1984-513416",2017-09-17,63,313797,1,0,"Play","2018"
"1984-513416",2017-09-24,57,271920,1,0,"Play","2018"
"1984-513416",2017-10-01,65,302268,1,0,"Play","2018"
"1984-513416",2017-10-08,90,490658,1,0,"Play","2018"
"1984-513416",2017-05-21,87,212626,1,0,"Play","2018"
"1984-513416",2017-06-11,72,288446,1,0,"Play","2018"
"1984-513416",2017-06-18,78,301461,1,0,"Play","2018"
"1984-513416",2017-06-25,87,337503,1,0,"Play","2018"
"1984-513416",2017-07-02,85,421364,1,0,"Play","2018"
"1984-513416",2017-07-09,76,369888,1,0,"Play","2018"
"33-variations-482128",2009-03-15,60,317866,5,1,"Play","2009"
"33-variations-482128",2009-02-22,52,257720,5,1,"Play","2009"
"33-variations-482128",2009-04-12,62,325279,5,1,"Play","2009"
"33-variations-482128",2009-03-22,63,367554,5,1,"Play","2009"
"33-variations-482128",2009-03-29,59,304731,5,1,"Play","2009"
"33-variations-482128",2009-04-05,58,303803,5,1,"Play","2009"
"33-variations-482128",2009-05-17,60,333656,5,1,"Play","2009"
"33-variations-482128",2009-05-24,64,236250,5,1,"Play","2009"
"33-variations-482128",2009-04-19,53,301812,5,1,"Play","2009"
"33-variations-482128",2009-05-10,51,287867,5,1,"Play","2009"
"33-variations-482128",2009-03-01,56,255692,5,1,"Play","2009"
"33-variations-482128",2009-03-08,58,269780,5,1,"Play","2009"
"33-variations-482128",2009-02-15,56,246337,5,1,"Play","2009"
"33-variations-482128",2009-05-03,50,280760,5,1,"Play","2009"
"33-variations-482128",2009-04-26,53,291195,5,1,"Play","2009"
"42nd-street-12864",2004-06-27,88,704872,8,2,"Musical","2001"
"42nd-street-12864",2004-09-19,73,563018,8,2,"Musical","2001"
"42nd-street-12864",2004-07-04,69,530077,8,2,"Musical","2001"
"42nd-street-12864",2004-07-11,80,642447,8,2,"Musical","2001"
"42nd-street-12864",2004-07-18,89,707345,8,2,"Musical","2001"
"42nd-street-12864",2001-12-30,100,1233693,8,2,"Musical","2001"
"42nd-street-12864",2004-06-20,79,629795,8,2,"Musical","2001"
"42nd-street-12864",2001-12-16,83,823443,8,2,"Musical","2001"
"42nd-street-12864",2001-12-23,79,767711,8,2,"Musical","2001"
"42nd-street-12864",2004-08-29,60,478094,8,2,"Musical","2001"
"42nd-street-12864",2004-07-25,86,684012,8,2,"Musical","2001"
"42nd-street-12864",2004-08-01,84,655853,8,2,"Musical","2001"
"42nd-street-12864",2004-08-22,70,548415,8,2,"Musical","2001"
"42nd-street-12864",2004-09-12,51,393972,8,2,"Musical","2001"
"42nd-street-12864",2004-06-13,75,592262,8,2,"Musical","2001"
"42nd-street-12864",2002-03-10,83,751009,8,2,"Musical","2001"
"42nd-street-12864",2004-09-26,78,589109,8,2,"Musical","2001"
"42nd-street-12864",2004-10-03,78,602620,8,2,"Musical","2001"
"42nd-street-12864",2004-10-10,86,695437,8,2,"Musical","2001"
"42nd-street-12864",2002-01-06,95,806847,8,2,"Musical","2001"
"42nd-street-12864",2002-01-13,76,696558,8,2,"Musical","2001"
"42nd-street-12864",2004-08-08,81,630506,8,2,"Musical","2001"
"42nd-street-12864",2004-08-15,78,610072,8,2,"Musical","2001"
"42nd-street-12864",2003-05-04,73,582145,8,2,"Musical","2001"
"42nd-street-12864",2003-05-11,71,563067,8,2,"Musical","2001"
"42nd-street-12864",2004-09-05,57,435506,8,2,"Musical","2001"
"42nd-street-12864",2002-02-24,97,903868,8,2,"Musical","2001"
"42nd-street-12864",2002-03-03,78,681137,8,2,"Musical","2001"
"42nd-street-12864",2001-12-02,88,848011,8,2,"Musical","2001"
"42nd-street-12864",2001-12-09,93,907902,8,2,"Musical","2001"
"42nd-street-12864",2003-02-23,76,639220,8,2,"Musical","2001"
"42nd-street-12864",2003-03-02,78,609225,8,2,"Musical","2001"
"42nd-street-12864",2004-10-17,87,684966,8,2,"Musical","2001"
"42nd-street-12864",2004-10-24,90,718276,8,2,"Musical","2001"
"42nd-street-12864",2002-01-20,76,743681,8,2,"Musical","2001"
"42nd-street-12864",2002-01-27,77,727363,8,2,"Musical","2001"
"42nd-street-12864",2002-02-03,70,619892,8,2,"Musical","2001"
"42nd-street-12864",2002-02-10,70,659360,8,2,"Musical","2001"
"42nd-street-12864",2002-02-17,81,802547,8,2,"Musical","2001"
"42nd-street-12864",2003-04-27,92,805555,8,2,"Musical","2001"
"42nd-street-12864",2003-10-12,84,718632,8,2,"Musical","2001"
"42nd-street-12864",2003-05-18,80,655134,8,2,"Musical","2001"
"42nd-street-12864",2003-05-25,85,697983,8,2,"Musical","2001"
"42nd-street-12864",2001-06-03,77,628672,8,2,"Musical","2001"
"42nd-street-12864",2001-06-10,89,806381,8,2,"Musical","2001"
"42nd-street-12864",2003-03-09,45,155144,8,2,"Musical","2001"
"42nd-street-12864",2003-03-16,80,651524,8,2,"Musical","2001"
"42nd-street-12864",2003-03-23,79,615530,8,2,"Musical","2001"
"42nd-street-12864",2003-03-30,78,603854,8,2,"Musical","2001"
"42nd-street-12864",2003-04-06,65,520801,8,2,"Musical","2001"
"42nd-street-12864",2003-04-13,75,591918,8,2,"Musical","2001"
"42nd-street-12864",2003-04-20,85,707619,8,2,"Musical","2001"
"42nd-street-12864",2004-11-28,89,861880,8,2,"Musical","2001"
"42nd-street-12864",2004-12-05,75,721019,8,2,"Musical","2001"
"42nd-street-12864",2004-12-12,85,811907,8,2,"Musical","2001"
"42nd-street-12864",2004-12-19,75,700240,8,2,"Musical","2001"
"42nd-street-12864",2004-12-26,81,758987,8,2,"Musical","2001"
"42nd-street-12864",2005-01-02,100,1128583,8,2,"Musical","2001"
"42nd-street-12864",2001-06-17,91,873776,8,2,"Musical","2001"
"42nd-street-12864",2001-06-24,87,870100,8,2,"Musical","2001"
"42nd-street-12864",2001-07-01,88,871664,8,2,"Musical","2001"
"42nd-street-12864",2004-10-31,83,618126,8,2,"Musical","2001"
"42nd-street-12864",2004-11-07,70,587162,8,2,"Musical","2001"
"42nd-street-12864",2004-11-14,79,692179,8,2,"Musical","2001"
"42nd-street-12864",2004-11-21,72,623142,8,2,"Musical","2001"
"42nd-street-12864",2001-11-11,86,792300,8,2,"Musical","2001"
"42nd-street-12864",2001-11-18,81,746552,8,2,"Musical","2001"
"42nd-street-12864",2001-11-25,97,968797,8,2,"Musical","2001"
"42nd-street-12864",2004-06-06,77,604963,8,2,"Musical","2001"
"42nd-street-12864",2003-02-16,84,745861,8,2,"Musical","2001"
"42nd-street-12864",2003-08-03,92,737630,8,2,"Musical","2001"
"42nd-street-12864",2003-08-10,95,797391,8,2,"Musical","2001"
"42nd-street-12864",2003-08-17,84,605328,8,2,"Musical","2001"
"42nd-street-12864",2003-08-24,86,689112,8,2,"Musical","2001"
"42nd-street-12864",2003-08-31,82,676843,8,2,"Musical","2001"
"42nd-street-12864",2003-09-07,55,429319,8,2,"Musical","2001"
"42nd-street-12864",2003-09-14,72,546407,8,2,"Musical","2001"
"42nd-street-12864",2003-09-21,71,573768,8,2,"Musical","2001"
"42nd-street-12864",2003-09-28,77,607925,8,2,"Musical","2001"
"42nd-street-12864",2003-10-05,81,635497,8,2,"Musical","2001"
"42nd-street-12864",2002-07-21,88,728450,8,2,"Musical","2001"
"42nd-street-12864",2003-10-19,89,746305,8,2,"Musical","2001"
"42nd-street-12864",2003-10-26,80,649470,8,2,"Musical","2001"
"42nd-street-12864",2003-11-02,68,534487,8,2,"Musical","2001"
"42nd-street-12864",2002-03-17,93,841856,8,2,"Musical","2001"
"42nd-street-12864",2002-03-24,88,821476,8,2,"Musical","2001"
"42nd-street-12864",2002-03-31,94,930406,8,2,"Musical","2001"
"42nd-street-12864",2002-04-07,96,965528,8,2,"Musical","2001"
"42nd-street-12864",2001-07-08,83,802126,8,2,"Musical","2001"
"42nd-street-12864",2001-07-15,86,863872,8,2,"Musical","2001"
"42nd-street-12864",2001-07-22,88,896066,8,2,"Musical","2001"
"42nd-street-12864",2001-07-29,89,892096,8,2,"Musical","2001"
"42nd-street-12864",2001-08-05,88,888762,8,2,"Musical","2001"
"42nd-street-12864",2001-08-12,88,886119,8,2,"Musical","2001"
"42nd-street-12864",2001-08-19,87,870973,8,2,"Musical","2001"
"42nd-street-12864",2001-08-26,82,812745,8,2,"Musical","2001"
"42nd-street-12864",2001-09-02,85,838712,8,2,"Musical","2001"
"42nd-street-12864",2001-09-09,75,726654,8,2,"Musical","2001"
"42nd-street-12864",2001-09-16,64,369284,8,2,"Musical","2001"
"42nd-street-12864",2001-09-23,67,558398,8,2,"Musical","2001"
"42nd-street-12864",2001-09-30,82,722844,8,2,"Musical","2001"
"42nd-street-12864",2001-10-07,87,799305,8,2,"Musical","2001"
"42nd-street-12864",2001-10-14,87,788803,8,2,"Musical","2001"
"42nd-street-12864",2001-10-21,89,811431,8,2,"Musical","2001"
"42nd-street-12864",2001-10-28,90,783123,8,2,"Musical","2001"
"42nd-street-12864",2001-11-04,73,639878,8,2,"Musical","2001"
"42nd-street-12864",2003-07-06,83,651192,8,2,"Musical","2001"
"42nd-street-12864",2003-07-13,87,694469,8,2,"Musical","2001"
"42nd-street-12864",2003-07-20,93,758580,8,2,"Musical","2001"
"42nd-street-12864",2003-07-27,96,776540,8,2,"Musical","2001"
"42nd-street-12864",2004-05-16,69,553196,8,2,"Musical","2001"
"42nd-street-12864",2004-05-23,75,618319,8,2,"Musical","2001"
"42nd-street-12864",2004-05-30,71,550952,8,2,"Musical","2001"
"42nd-street-12864",2002-06-02,82,695065,8,2,"Musical","2001"
"42nd-street-12864",2002-06-09,85,743173,8,2,"Musical","2001"
"42nd-street-12864",2002-06-16,82,731504,8,2,"Musical","2001"
"42nd-street-12864",2002-06-23,89,788230,8,2,"Musical","2001"
"42nd-street-12864",2002-06-30,87,762844,8,2,"Musical","2001"
"42nd-street-12864",2002-07-07,78,638718,8,2,"Musical","2001"
"42nd-street-12864",2002-07-14,83,705302,8,2,"Musical","2001"
"42nd-street-12864",2002-10-20,75,730969,8,2,"Musical","2001"
"42nd-street-12864",2002-07-28,84,727043,8,2,"Musical","2001"
"42nd-street-12864",2002-08-04,85,737969,8,2,"Musical","2001"
"42nd-street-12864",2002-08-11,90,792653,8,2,"Musical","2001"
"42nd-street-12864",2002-08-18,82,748663,8,2,"Musical","2001"
"42nd-street-12864",2002-08-25,80,694438,8,2,"Musical","2001"
"42nd-street-12864",2002-09-01,82,713046,8,2,"Musical","2001"
"42nd-street-12864",2002-09-08,46,399685,8,2,"Musical","2001"
"42nd-street-12864",2002-09-15,56,418215,8,2,"Musical","2001"
"42nd-street-12864",2002-09-22,72,638785,8,2,"Musical","2001"
"42nd-street-12864",2002-09-29,72,650784,8,2,"Musical","2001"
"42nd-street-12864",2002-10-06,73,663096,8,2,"Musical","2001"
"42nd-street-12864",2002-10-13,79,757039,8,2,"Musical","2001"
"42nd-street-12864",2003-01-19,81,678711,8,2,"Musical","2001"
"42nd-street-12864",2002-10-27,77,705883,8,2,"Musical","2001"
"42nd-street-12864",2002-11-03,68,604301,8,2,"Musical","2001"
"42nd-street-12864",2002-11-10,73,697612,8,2,"Musical","2001"
"42nd-street-12864",2002-11-17,66,613380,8,2,"Musical","2001"
"42nd-street-12864",2002-11-24,61,556370,8,2,"Musical","2001"
"42nd-street-12864",2002-12-01,84,869531,8,2,"Musical","2001"
"42nd-street-12864",2002-12-08,81,820087,8,2,"Musical","2001"
"42nd-street-12864",2002-12-15,72,710892,8,2,"Musical","2001"
"42nd-street-12864",2002-12-22,67,621156,8,2,"Musical","2001"
"42nd-street-12864",2002-12-29,92,991324,8,2,"Musical","2001"
"42nd-street-12864",2003-01-05,85,799563,8,2,"Musical","2001"
"42nd-street-12864",2003-01-12,78,622047,8,2,"Musical","2001"
"42nd-street-12864",2002-05-05,76,699657,8,2,"Musical","2001"
"42nd-street-12864",2003-01-26,71,547383,8,2,"Musical","2001"
"42nd-street-12864",2003-02-02,74,570859,8,2,"Musical","2001"
"42nd-street-12864",2003-02-09,71,566649,8,2,"Musical","2001"
"42nd-street-12864",2004-04-25,79,647719,8,2,"Musical","2001"
"42nd-street-12864",2004-05-02,67,527132,8,2,"Musical","2001"
"42nd-street-12864",2004-05-09,68,530203,8,2,"Musical","2001"
"42nd-street-12864",2003-11-16,67,540910,8,2,"Musical","2001"
"42nd-street-12864",2003-11-23,65,518533,8,2,"Musical","2001"
"42nd-street-12864",2003-11-30,71,713344,8,2,"Musical","2001"
"42nd-street-12864",2002-04-14,80,761769,8,2,"Musical","2001"
"42nd-street-12864",2002-04-21,88,842654,8,2,"Musical","2001"
"42nd-street-12864",2002-04-28,84,798419,8,2,"Musical","2001"
"42nd-street-12864",2003-06-22,91,741252,8,2,"Musical","2001"
"42nd-street-12864",2002-05-12,77,715783,8,2,"Musical","2001"
"42nd-street-12864",2002-05-19,83,776978,8,2,"Musical","2001"
"42nd-street-12864",2002-05-26,83,758073,8,2,"Musical","2001"
"42nd-street-12864",2001-04-08,57,211761,8,2,"Musical","2001"
"42nd-street-12864",2001-04-15,78,446174,8,2,"Musical","2001"
"42nd-street-12864",2003-11-09,75,626966,8,2,"Musical","2001"
"42nd-street-12864",2001-04-29,77,494263,8,2,"Musical","2001"
"42nd-street-12864",2001-05-06,63,418006,8,2,"Musical","2001"
"42nd-street-12864",2001-05-13,83,611932,8,2,"Musical","2001"
"42nd-street-12864",2003-06-01,75,588492,8,2,"Musical","2001"
"42nd-street-12864",2003-06-08,77,598453,8,2,"Musical","2001"
"42nd-street-12864",2003-06-15,79,625731,8,2,"Musical","2001"
"42nd-street-12864",2003-12-07,74,711983,8,2,"Musical","2001"
"42nd-street-12864",2003-06-29,89,730693,8,2,"Musical","2001"
"42nd-street-12864",2004-04-04,75,569384,8,2,"Musical","2001"
"42nd-street-12864",2004-04-11,92,781194,8,2,"Musical","2001"
"42nd-street-12864",2004-04-18,90,718256,8,2,"Musical","2001"
"42nd-street-12864",2004-01-11,63,479155,8,2,"Musical","2001"
"42nd-street-12864",2001-04-22,74,468091,8,2,"Musical","2001"
"42nd-street-12864",2004-01-25,52,399025,8,2,"Musical","2001"
"42nd-street-12864",2004-02-01,46,328853,8,2,"Musical","2001"
"42nd-street-12864",2004-02-08,56,415607,8,2,"Musical","2001"
"42nd-street-12864",2004-02-15,65,564528,8,2,"Musical","2001"
"42nd-street-12864",2001-05-20,83,677755,8,2,"Musical","2001"
"42nd-street-12864",2001-05-27,87,731127,8,2,"Musical","2001"
"42nd-street-12864",2004-03-14,78,591859,8,2,"Musical","2001"
"42nd-street-12864",2003-12-14,68,615868,8,2,"Musical","2001"
"42nd-street-12864",2003-12-21,58,542799,8,2,"Musical","2001"
"42nd-street-12864",2003-12-28,87,861160,8,2,"Musical","2001"
"42nd-street-12864",2004-01-04,93,885485,8,2,"Musical","2001"
"42nd-street-12864",2004-02-29,58,437875,8,2,"Musical","2001"
"42nd-street-12864",2004-01-18,56,478294,8,2,"Musical","2001"
"42nd-street-12864",2004-03-28,90,695390,8,2,"Musical","2001"
"42nd-street-12864",2004-02-22,83,635760,8,2,"Musical","2001"
"42nd-street-12864",2004-03-21,86,660257,8,2,"Musical","2001"
"42nd-street-12864",2004-03-07,61,460451,8,2,"Musical","2001"
"42nd-street-3963",1988-04-10,81,525712,8,2,"Musical","1981"
"42nd-street-3963",1988-04-17,57,377802,8,2,"Musical","1981"
"42nd-street-3963",1988-05-22,72,509014,8,2,"Musical","1981"
"42nd-street-3963",1988-06-05,59,198613,8,2,"Musical","1981"
"42nd-street-3963",1988-05-29,70,465146,8,2,"Musical","1981"
"42nd-street-3963",1986-06-08,65,251574,8,2,"Musical","1981"
"42nd-street-3963",1986-06-15,65,250203,8,2,"Musical","1981"
"42nd-street-3963",1986-06-22,65,254708,8,2,"Musical","1981"
"42nd-street-3963",1986-07-06,58,290297,8,2,"Musical","1981"
"42nd-street-3963",1986-07-13,69,282828,8,2,"Musical","1981"
"42nd-street-3963",1986-07-20,80,313780,8,2,"Musical","1981"
"42nd-street-3963",1986-06-29,63,244213,8,2,"Musical","1981"
"42nd-street-3963",1988-05-01,61,445038,8,2,"Musical","1981"
"42nd-street-3963",1988-06-12,74,252701,8,2,"Musical","1981"
"42nd-street-3963",1988-06-19,76,248645,8,2,"Musical","1981"
"42nd-street-3963",1988-04-24,68,467382,8,2,"Musical","1981"
"42nd-street-3963",1988-07-03,67,213655,8,2,"Musical","1981"
"42nd-street-3963",1988-07-10,60,195193,8,2,"Musical","1981"
"42nd-street-3963",1988-07-17,71,231618,8,2,"Musical","1981"
"42nd-street-3963",1988-06-26,66,225408,8,2,"Musical","1981"
"42nd-street-3963",1988-03-20,52,425768,8,2,"Musical","1981"
"42nd-street-3963",1988-03-27,71,466938,8,2,"Musical","1981"
"42nd-street-3963",1988-04-03,75,484218,8,2,"Musical","1981"
"42nd-street-3963",1985-05-19,84,342663,8,2,"Musical","1981"
"42nd-street-3963",1985-05-26,84,342088,8,2,"Musical","1981"
"42nd-street-3963",1985-06-02,70,276116,8,2,"Musical","1981"
"42nd-street-3963",1988-05-08,63,438010,8,2,"Musical","1981"
"42nd-street-3963",1988-05-15,67,487620,8,2,"Musical","1981"
"42nd-street-3963",1984-09-23,84,345596,8,2,"Musical","1981"
"42nd-street-3963",1984-09-30,79,332601,8,2,"Musical","1981"
"42nd-street-3963",1984-10-07,84,348221,8,2,"Musical","1981"
"42nd-street-3963",1984-10-14,88,373531,8,2,"Musical","1981"
"42nd-street-3963",1984-10-21,89,376910,8,2,"Musical","1981"
"42nd-street-3963",1983-07-24,100,403446,8,2,"Musical","1981"
"42nd-street-3963",1983-07-31,101,411310,8,2,"Musical","1981"
"42nd-street-3963",1983-08-07,101,404286,8,2,"Musical","1981"
"42nd-street-3963",1983-08-14,103,420714,8,2,"Musical","1981"
"42nd-street-3963",1983-08-21,102,415594,8,2,"Musical","1981"
"42nd-street-3963",1986-07-27,77,293863,8,2,"Musical","1981"
"42nd-street-3963",1983-06-05,92,377120,8,2,"Musical","1981"
"42nd-street-3963",1983-06-12,100,415105,8,2,"Musical","1981"
"42nd-street-3963",1983-06-19,97,405121,8,2,"Musical","1981"
"42nd-street-3963",1983-06-26,101,415169,8,2,"Musical","1981"
"42nd-street-3963",1983-07-03,100,400807,8,2,"Musical","1981"
"42nd-street-3963",1983-07-10,93,367826,8,2,"Musical","1981"
"42nd-street-3963",1983-07-17,99,394713,8,2,"Musical","1981"
"42nd-street-3963",1986-09-21,64,265523,8,2,"Musical","1981"
"42nd-street-3963",1986-09-28,62,262232,8,2,"Musical","1981"
"42nd-street-3963",1986-10-05,55,240747,8,2,"Musical","1981"
"42nd-street-3963",1986-10-12,73,305526,8,2,"Musical","1981"
"42nd-street-3963",1986-10-19,67,286581,8,2,"Musical","1981"
"42nd-street-3963",1986-10-26,66,281040,8,2,"Musical","1981"
"42nd-street-3963",1986-08-03,71,289927,8,2,"Musical","1981"
"42nd-street-3963",1986-08-10,75,306226,8,2,"Musical","1981"
"42nd-street-3963",1986-08-17,80,326009,8,2,"Musical","1981"
"42nd-street-3963",1986-08-24,81,323112,8,2,"Musical","1981"
"42nd-street-3963",1986-08-31,80,318560,8,2,"Musical","1981"
"42nd-street-3963",1986-09-07,47,187219,8,2,"Musical","1981"
"42nd-street-3963",1986-09-14,60,253834,8,2,"Musical","1981"
"42nd-street-3963",1985-04-21,79,332148,8,2,"Musical","1981"
"42nd-street-3963",1985-04-28,79,327727,8,2,"Musical","1981"
"42nd-street-3963",1985-05-05,74,304190,8,2,"Musical","1981"
"42nd-street-3963",1985-05-12,85,344264,8,2,"Musical","1981"
"42nd-street-3963",1984-02-19,80,347323,8,2,"Musical","1981"
"42nd-street-3963",1984-02-26,93,375727,8,2,"Musical","1981"
"42nd-street-3963",1984-03-04,71,285254,8,2,"Musical","1981"
"42nd-street-3963",1984-03-11,77,313253,8,2,"Musical","1981"
"42nd-street-3963",1984-03-18,93,368670,8,2,"Musical","1981"
"42nd-street-3963",1984-03-25,93,377322,8,2,"Musical","1981"
"42nd-street-3963",1984-04-01,83,332495,8,2,"Musical","1981"
"42nd-street-3963",1984-04-08,85,346511,8,2,"Musical","1981"
"42nd-street-3963",1984-04-15,86,343923,8,2,"Musical","1981"
"42nd-street-3963",1984-04-22,96,397616,8,2,"Musical","1981"
"42nd-street-3963",1984-04-29,91,392047,8,2,"Musical","1981"
"42nd-street-3963",1984-05-06,85,354263,8,2,"Musical","1981"
"42nd-street-3963",1984-05-13,84,351517,8,2,"Musical","1981"
"42nd-street-3963",1984-05-20,93,393043,8,2,"Musical","1981"
"42nd-street-3963",1984-05-27,93,383101,8,2,"Musical","1981"
"42nd-street-3963",1984-06-03,89,357448,8,2,"Musical","1981"
"42nd-street-3963",1982-06-06,103,400897,8,2,"Musical","1981"
"42nd-street-3963",1982-06-13,104,409523,8,2,"Musical","1981"
"42nd-street-3963",1982-06-20,104,409335,8,2,"Musical","1981"
"42nd-street-3963",1982-06-27,104,414256,8,2,"Musical","1981"
"42nd-street-3963",1982-07-04,104,399629,8,2,"Musical","1981"
"42nd-street-3963",1982-07-11,102,382947,8,2,"Musical","1981"
"42nd-street-3963",1982-07-18,103,385832,8,2,"Musical","1981"
"42nd-street-3963",1982-07-25,104,389087,8,2,"Musical","1981"
"42nd-street-3963",1982-08-01,104,401328,8,2,"Musical","1981"
"42nd-street-3963",1982-08-08,104,398477,8,2,"Musical","1981"
"42nd-street-3963",1982-08-15,104,396924,8,2,"Musical","1981"
"42nd-street-3963",1982-08-22,104,419606,8,2,"Musical","1981"
"42nd-street-3963",1982-08-29,103,413655,8,2,"Musical","1981"
"42nd-street-3963",1982-09-05,104,399334,8,2,"Musical","1981"
"42nd-street-3963",1982-09-12,100,384693,8,2,"Musical","1981"
"42nd-street-3963",1982-09-19,103,412859,8,2,"Musical","1981"
"42nd-street-3963",1982-09-26,103,405953,8,2,"Musical","1981"
"42nd-street-3963",1982-10-03,103,400916,8,2,"Musical","1981"
"42nd-street-3963",1982-10-10,103,422681,8,2,"Musical","1981"
"42nd-street-3963",1982-10-17,104,431772,8,2,"Musical","1981"
"42nd-street-3963",1982-10-24,104,430346,8,2,"Musical","1981"
"42nd-street-3963",1982-10-31,103,426069,8,2,"Musical","1981"
"42nd-street-3963",1982-11-07,100,394274,8,2,"Musical","1981"
"42nd-street-3963",1982-11-14,103,418759,8,2,"Musical","1981"
"42nd-street-3963",1982-11-21,99,400817,8,2,"Musical","1981"
"42nd-street-3963",1982-11-28,102,425320,8,2,"Musical","1981"
"42nd-street-3963",1982-12-05,97,398264,8,2,"Musical","1981"
"42nd-street-3963",1982-12-12,97,404755,8,2,"Musical","1981"
"42nd-street-3963",1982-12-19,84,351581,8,2,"Musical","1981"
"42nd-street-3963",1982-12-26,93,358278,8,2,"Musical","1981"
"42nd-street-3963",1983-01-02,107,470037,8,2,"Musical","1981"
"42nd-street-3963",1983-01-09,100,419072,8,2,"Musical","1981"
