production,nominations,wins,type,year
the-illusionists--magic-of-the-holidays-523538,0,0,Special,"Nov 29, 2019"
the-inheritance-522863,10,4,Play,2020
the-rose-tattoo-4297,1,0,Play,1995
the-rose-tattoo-522730,2,0,Play,2020
the-sound-inside-522762,6,1,Play,2020
tootsie-519394,10,2,Musical,2019
what-the-constitution-means-to-me-521025,2,0,Play,2019
american-son-518736,0,0,Play,"Nov 04, 2018"
bernhardt-hamlet-518406,2,0,Play,2019
carousel-4598,5,5,Musical,1994
carousel-515791,11,2,Musical,2018
celebrity-autobiography-520492,0,0,Special,"Nov 26, 2018"
children-of-a-lesser-god-3694,4,3,Play,1980
children-of-a-lesser-god-515596,1,0,Play,2018
escape-to-margaritaville-515030,0,0,Musical,"Mar 15, 2018"
gettin-the-band-back-together-515587,0,0,Musical,"Aug 13, 2018"
harry-potter-and-the-cursed-child-parts-one-and-two-514844,10,6,Play,2018
lobby-hero-515856,2,0,Play,2018
mean-girls-515822,12,0,Musical,2018
my-fair-lady-4129,1,0,Musical,1982
my-fair-lady-4590,3,0,Musical,1994
my-fair-lady-513966,10,1,Musical,2018
network-519334,5,1,Play,2019
pretty-woman-the-musical-517017,0,0,Musical,"Aug 16, 2018"
rocktopia-517409,0,0,Special,"Mar 27, 2018"
saint-joan-4704,1,0,Play,1993
saint-joan-515949,1,0,Play,2018
straight-white-men-517091,0,0,Play,"Jul 23, 2018"
summer-517215,2,0,Musical,2018
the-boys-in-the-band-516746,2,1,Play,2019
the-cher-show-518460,3,2,Musical,2019
the-ferryman-518068,9,4,Play,2019
the-iceman-cometh-4379,4,0,Play,1986
the-iceman-cometh-7300,5,0,Play,1999
the-iceman-cometh-515678,8,0,Play,2018
the-lifespan-of-a-fact-518712,0,0,Play,"Oct 18, 2018"
the-nap-517583,0,0,Play,"Sep 27, 2018"
the-waverly-gallery-518410,2,1,Play,2019
three-tall-women-515801,6,2,Play,2018
travesties-515749,4,0,Play,2018
true-west-12483,3,0,Play,2000
true-west-518222,0,0,Play,"Jan 24, 2019"
1984-513416,1,0,Play,2018
a-dolls-house-part-2-510743,7,1,Play,2017
bandstand-511287,2,1,Musical,2017
charlie-and-the-chocolate-factory-509567,1,1,Musical,2017
come-from-away-510272,7,1,Musical,2017
farinelli-and-the-king-514892,5,0,Play,2018
groundhog-day-510225,7,0,Musical,2017
hello-dolly-4308,1,0,Musical,1996
hello-dolly-507877,10,4,Musical,2017
home-for-the-holidays-516420,0,0,Special,"Nov 21, 2017"
indecent-511164,3,2,Play,2017
jitney-507859,6,1,Play,2017
latin-history-for-morons-515722,2,1,Play,2018
marvins-room-510044,0,0,Play,"Jun 29, 2017"
meteor-shower-515445,1,0,Play,2018
miss-saigon-4639,11,3,Musical,1991
miss-saigon-509511,2,0,Musical,2017
once-on-this-island-4617,8,0,Musical,1991
once-on-this-island-514926,8,1,Musical,2018
oslo-509322,7,2,Play,2017
present-laughter-4180,5,0,Play,1983
present-laughter-4805,1,0,Play,1997
present-laughter-484398,1,0,Play,2010
present-laughter-510583,3,1,Play,2017
prince-of-broadway-512381,2,0,Musical,2018
significant-other-509696,0,0,Play,"Mar 02, 2017"
six-degrees-of-separation-4622,4,1,Play,1991
six-degrees-of-separation-511243,2,0,Play,2017
spongebob-squarepants-515039,12,1,Musical,2018
springsteen-on-broadway-515480,1,1,Special,2018
sunday-in-the-park-with-george-4335,10,2,Musical,1984
sunday-in-the-park-with-george-457137,9,0,Musical,2008
sunday-in-the-park-with-george-512687,0,0,Musical,"Feb 23, 2017"
sunset-boulevard-4275,11,7,Musical,1995
sunset-boulevard-511108,1,0,Musical,2017
the-bands-visit-514964,11,10,Musical,2018
the-glass-menagerie-4241,0,0,Play,"Dec 01, 1983"
the-glass-menagerie-4273,1,0,Play,1995
the-glass-menagerie-390256,0,0,Play,"Mar 22, 2005"
the-glass-menagerie-494802,7,1,Play,2014
the-glass-menagerie-508222,1,0,Play,2017
the-little-foxes-4117,5,0,Play,1981
the-little-foxes-4749,2,0,Play,1997
the-little-foxes-508257,6,2,Play,2017
the-parisian-woman-515423,0,0,Play,"Nov 30, 2017"
the-play-that-goes-wrong-511410,1,1,Play,2017
the-present-508170,1,0,Play,2017
the-terms-of-my-surrender-514772,0,0,Play,"Aug 10, 2017"
time-and-the-conways-514921,0,0,Play,"Oct 10, 2017"
war-paint-510889,3,0,Musical,2017
a-bronx-tale-the-musical-508538,1,0,Musical,2017
alton-brown-live-eat-your-science-510322,0,0,Special,"Nov 22, 2016"
american-psycho-503809,2,0,Musical,2016
an-act-of-god-499263,1,0,Play,2016
an-act-of-god-506458,0,0,Play,"Jun 06, 2016"
black-to-the-future-508588,0,0,Special,"Sep 12, 2016"
cirque-du-soleil-paramour-502326,0,0,Musical,"May 25, 2016"
dear-evan-hansen-508238,9,6,Musical,2017
disaster-503579,1,0,Musical,2016
eclipsed-503176,5,1,Play,2016
falsettos-4686,7,2,Musical,1992
falsettos-505384,4,0,Musical,2017
frankie-valli-and-the-four-seasons-on-broadway-493305,0,0,Special,"Oct 19, 2012"
frankie-valli-and-the-four-seasons-on-broadway-509191,0,0,Special,"Oct 21, 2016"
fully-committed-503772,2,1,Play,2016
heisenberg-504820,1,0,Play,2017
holiday-inn-the-new-irving-berlin-musical-503850,1,0,Musical,2017
in-transit-509159,0,0,Musical,"Dec 11, 2016"
les-liaisons-dangereuses-4469,7,0,Play,1987
les-liaisons-dangereuses-473780,5,1,Play,2008
les-liaisons-dangereuses-506985,0,0,Play,"Oct 30, 2016"
long-days-journey-into-night-4410,4,0,Play,1986
long-days-journey-into-night-13474,6,3,Play,2003
long-days-journey-into-night-501115,7,2,Play,2016
motown-the-musical-493342,4,0,Musical,2013
motown-the-musical-503905,0,0,Musical,"Jul 12, 2016"
natasha-pierre-the-great-comet-of-1812-506425,12,2,Musical,2017
oh-hello-on-broadway-508697,0,0,Play,"Oct 10, 2016"
shuffle-along-or-the-making-of-the-musical-sensation-of-1921-and-all-that-followed-499865,10,0,Musical,2016
the-cherry-orchard-4757,0,0,Play,"Oct 30, 1997"
the-cherry-orchard-503847,0,0,Play,"Oct 16, 2016"
the-crucible-4654,0,0,Play,"Dec 10, 1991"
the-crucible-13135,6,0,Play,2002
the-crucible-502500,4,0,Play,2016
the-encounter-508470,1,1,Play,2017
the-front-page-4432,2,0,Play,1987
the-front-page-508298,2,0,Play,2017
the-humans-503915,6,4,Play,2016
tuck-everlasting-501949,1,0,Musical,2016
airline-highway-497979,4,0,Play,2015
amazing-grace-500421,0,0,Musical,"Jul 16, 2015"
an-american-in-paris-497695,11,4,Musical,2015
dames-at-sea-501154,1,0,Musical,2016
doctor-zhivago-498431,0,0,Musical,"Apr 21, 2015"
fiddler-on-the-roof-13312,1,0,Musical,1982
fiddler-on-the-roof-4625,2,1,Musical,1991
fiddler-on-the-roof-13483,6,0,Musical,2004
fiddler-on-the-roof-501123,3,0,Musical,2016
finding-neverland-498337,2,0,Musical,2015
fish-in-the-dark-497971,0,0,Play,"Mar 05, 2015"
fool-for-love-498865,0,0,Play,"Oct 08, 2015"
fun-home-497807,10,5,Musical,2015
hand-to-god-498573,5,0,Play,2015
it-shoulda-been-you-498636,3,0,Musical,2015
king-charles-iii-500333,5,0,Play,2016
living-on-love-498988,0,0,Play,"Apr 20, 2015"
lord-of-the-dance-dangerous-games-502664,0,0,Special,"Nov 10, 2015"
misery-501289,1,0,Play,2016
noises-off-4244,4,0,Play,1984
noises-off-13061,2,1,Play,2002
noises-off-501117,4,0,Play,2016
old-times-500238,0,0,Play,"Oct 06, 2015"
on-the-twentieth-century-497108,5,0,Musical,2015
on-your-feet-497820,1,0,Musical,2016
our-mothers-brief-affair-500158,0,0,Play,"Jan 20, 2016"
penn-teller-on-broadway-500015,0,0,Special,"Jul 12, 2015"
school-of-rock-the-musical-498973,4,0,Musical,2016
skylight-4798,4,0,Play,1997
skylight-497982,7,1,Play,2015
something-rotten-498917,10,1,Musical,2015
spring-awakening-448811,11,8,Musical,2007
spring-awakening-501403,3,0,Musical,2016
the-audience-497830,3,2,Play,2015
the-color-purple-398535,10,1,Musical,2006
the-color-purple-499928,4,2,Musical,2016
the-gin-game-4745,3,0,Play,1997
the-gin-game-500650,0,0,Play,"Oct 14, 2015"
the-heidi-chronicles-4538,6,2,Play,1989
the-heidi-chronicles-498692,1,0,Play,2015
the-king-and-i-4357,3,1,Musical,1985
the-king-and-i-4673,8,4,Musical,1996
the-king-and-i-497593,9,4,Musical,2015
thrse-raquin-501120,1,0,Play,2016
a-delicate-balance-4676,6,3,Play,1996
a-delicate-balance-497118,0,0,Play,"Nov 20, 2014"
a-raisin-in-the-sun-13596,4,2,Play,2004
a-raisin-in-the-sun-495163,5,3,Play,2014
act-one-494913,5,1,Play,2014
beautiful-the-carole-king-musical-495178,7,2,Musical,2014
bronx-bombers-495539,0,0,Play,"Feb 06, 2014"
casa-valentina-495296,4,0,Play,2014
constellations-497494,1,0,Play,2015
disgraced-497477,1,0,Play,2015
hedwig-and-the-angry-inch-495294,8,4,Musical,2014
holler-if-ya-hear-me-496054,0,0,Musical,"Jun 19, 2014"
honeymoon-in-vegas-497532,5,0,Musical,2015
if-then-495051,2,0,Musical,2014
its-only-a-play-497345,1,0,Play,2015
les-misrables-4443,11,8,Musical,1987
les-misrables-413358,3,0,Musical,2007
les-misrables-494837,3,0,Musical,2014
machinal-494821,4,0,Play,2014
mothers-and-sons-495880,2,0,Play,2014
of-mice-and-men-495843,2,0,Play,2014
outside-mullingar-495057,1,0,Play,2014
side-show-4755,4,0,Musical,1998
side-show-497803,5,0,Musical,2015
the-bridges-of-madison-county-494897,4,2,Musical,2014
the-country-house-496692,0,0,Play,"Oct 02, 2014"
the-cripple-of-inishmaan-496113,6,0,Play,2014
the-elephant-man-3938,7,3,Play,1979
the-elephant-man-13289,2,0,Play,2002
the-elephant-man-497261,4,0,Play,2015
the-last-ship-496367,2,0,Musical,2015
the-realistic-joneses-496249,1,1,Play,2014
the-velocity-of-autumn-495917,1,0,Play,2014
this-is-our-youth-496960,1,0,Play,2015
you-cant-take-it-with-you-4215,1,0,Play,1983
you-cant-take-it-with-you-497263,5,1,Play,2015
700-sundays-383054,1,1,Play,2005
700-sundays-494801,0,0,Play,"Nov 13, 2013"
a-night-with-janis-joplin-494972,1,0,Musical,2014
a-time-to-kill-494965,0,0,Play,"Oct 20, 2013"
cat-on-a-hot-tin-roof-4556,3,1,Play,1990
cat-on-a-hot-tin-roof-13501,1,0,Play,2004
cat-on-a-hot-tin-roof-474986,0,0,Play,"Mar 06, 2008"
cat-on-a-hot-tin-roof-493492,0,0,Play,"Jan 17, 2013"
first-date-494334,1,1,Musical,2014
forever-tango-4753,1,0,Special,1998
forever-tango-382362,0,0,Special,"Jul 24, 2004"
forever-tango-494813,0,0,Special,"Jul 14, 2013"
hands-on-a-hardbody-493526,3,0,Musical,2013
ill-eat-you-last-a-chat-with-sue-mengers-494064,1,0,Play,2013
jekyll-hyde-4750,4,0,Musical,1997
jekyll-hyde-493330,0,0,Musical,"Apr 18, 2013"
kinky-boots-493287,13,6,Musical,2013
let-it-be-494772,0,0,Special,"Jul 24, 2013"
lucky-guy-493577,6,2,Play,2013
matilda-the-musical-493194,13,4,Musical,2013
no-mans-land-4594,1,0,Play,1994
no-mans-land-494759,2,0,Play,2014
rodgers-hammersteins-cinderella-493254,9,1,Musical,2013
romeo-and-juliet-494555,0,0,Play,"Sep 19, 2013"
soul-doctor-494827,0,0,Musical,"Aug 15, 2013"
the-assembled-parties-493256,3,1,Play,2013
the-big-knife-492798,1,0,Play,2013
the-nance-493671,5,3,Play,2013
the-other-place-493079,1,0,Play,2013
the-rascals-once-upon-a-dream-494144,0,0,Special,"Apr 16, 2013"
the-snow-geese-494616,0,0,Play,"Oct 24, 2013"
the-testament-of-mary-493968,3,0,Play,2013
the-trip-to-bountiful-493812,4,1,Play,2013
the-winslow-boy-495075,0,0,Play,"Oct 17, 2013"
twelfth-night-4732,5,0,Play,1999
twelfth-night-494842,6,2,Play,2014
vanya-and-sonia-and-masha-and-spike-494053,6,1,Play,2013
waiting-for-godot-481504,3,0,Play,2009
a-christmas-story-the-musical-493218,3,0,Musical,2013
a-streetcar-named-desire-4496,2,0,Play,1988
a-streetcar-named-desire-4677,1,0,Play,1992
a-streetcar-named-desire-381031,3,0,Play,2005
a-streetcar-named-desire-491729,1,0,Play,2012
an-enemy-of-the-people-492979,0,0,Play,"Sep 27, 2012"
bring-it-on-the-musical-492887,2,0,Musical,2013
chaplin-492870,1,0,Musical,2013
clybourne-park-491759,4,1,Play,2012
dead-accounts-493275,0,0,Play,"Nov 29, 2012"
dont-dress-for-dinner-491120,2,0,Play,2012
elf-488284,0,0,Musical,"Nov 14, 2010"
elf-493278,0,0,Musical,"Nov 09, 2012"
end-of-the-rainbow-491212,3,0,Play,2012
evita-3809,11,7,Musical,1980
evita-491036,3,0,Musical,2012
ghost-the-musical-490920,3,0,Musical,2012
glengarry-glen-ross-4458,4,1,Play,1984
glengarry-glen-ross-390715,5,2,Play,2005
glengarry-glen-ross-493046,0,0,Play,"Dec 08, 2012"
the-best-man-12551,1,0,Play,2001
the-best-man-491515,2,0,Play,2012
jesus-christ-superstar-12491,1,0,Musical,2000
jesus-christ-superstar-490940,2,0,Musical,2012
leap-of-faith-491632,1,0,Musical,2012
magic-bird-491567,0,0,Play,"Apr 11, 2012"
nice-work-if-you-can-get-it-491374,10,2,Musical,2012
one-man-two-guvnors-491201,7,1,Play,2012
peter-and-the-starcatcher-491597,9,5,Play,2012
shatners-world-we-just-live-in-it-491532,0,0,Special,"Feb 16, 2012"
the-anarchist-493248,0,0,Play,"Dec 02, 2012"
the-columnist-490405,1,0,Play,2012
porgy-and-bess-4861,2,0,Musical,1983
porgy-and-bess-490541,9,2,Musical,2012
the-heiress-4287,7,4,Play,1995
the-heiress-493115,2,0,Play,2013
the-mystery-of-edwin-drood-4386,9,5,Musical,1986
the-mystery-of-edwin-drood-493101,5,0,Musical,2013
the-performers-493214,0,0,Play,"Nov 14, 2012"
the-road-to-mecca-490641,1,0,Play,2012
mike-tyson-undisputed-truth-493055,0,0,Special,"Aug 02, 2012"
venus-in-fur-490533,2,1,Play,2012
an-evening-with-patti-lupone-and-mandy-patinkin-490614,0,0,Special,"Nov 21, 2011"
anything-goes-4483,10,3,Musical,1988
anything-goes-488371,9,3,Musical,2011
bengal-tiger-at-the-baghdad-zoo-489285,3,0,Play,2011
bonnie-and-clyde-490509,2,0,Musical,2012
born-yesterday-4529,1,0,Play,1989
born-yesterday-489630,2,0,Play,2011
chinglish-490700,3,0,Play,2012
ghetto-klown-489556,1,1,Play,2011
godspell-490436,0,0,Musical,"Nov 07, 2011"
good-people-488093,2,1,Play,2011
how-to-succeed-in-business-without-really-trying-4288,4,1,Musical,1995
how-to-succeed-in-business-without-really-trying-488364,8,1,Musical,2011
hugh-jackman-back-on-broadway-490814,0,0,Special,"Nov 10, 2011"
kathy-griffin-wants-a-tony-489723,0,0,Special,"Mar 11, 2011"
lysistrata-jones-490623,1,0,Musical,2012
man-and-boy-490386,1,0,Play,2012
master-class-4314,3,3,Play,1996
master-class-489512,1,0,Play,2012
on-a-clear-day-you-can-see-forever-490538,1,0,Musical,2012
other-desert-cities-490602,5,1,Play,2012
private-lives-4225,0,0,Play,"May 08, 1983"
private-lives-4663,0,0,Play,"Feb 20, 1992"
private-lives-13372,6,3,Play,2002
private-lives-490548,0,0,Play,"Nov 17, 2011"
relatively-speaking-490498,0,0,Play,"Oct 20, 2011"
seminar-490651,1,1,Play,2012
sister-act-488903,5,0,Musical,2011
stick-fly-490503,1,0,Play,2012
that-championship-season-489564,0,0,Play,"Mar 06, 2011"
the-book-of-mormon-488721,13,9,Musical,2011
the-house-of-blue-leaves-4411,8,4,Play,1986
the-house-of-blue-leaves-489428,1,0,Play,2011
the-importance-of-being-earnest-488272,3,1,Play,2011
the-mountaintop-490429,1,0,Play,2012
the-normal-heart-489853,5,3,Play,2011
the-people-in-the-picture-489215,1,0,Musical,2011
war-horse-488128,5,5,Play,2011
a-behanding-in-spokane-485319,1,0,Play,2010
a-free-man-of-color-487904,1,0,Play,2011
a-life-in-the-theatre-488279,0,0,Play,"Oct 12, 2010"
all-about-me-485454,1,0,Musical,2010
american-idiot-485578,3,2,Musical,2010
bloody-bloody-andrew-jackson-488478,2,0,Musical,2011
brief-encounter-488164,2,0,Play,2011
collected-stories-483662,1,0,Play,2010
come-fly-away-485560,2,0,Musical,2010
driving-miss-daisy-488275,1,0,Play,2011
enron-485537,4,0,Play,2010
everyday-rapture-487670,2,0,Musical,2010
fences-4446,5,4,Play,1987
fences-485594,10,3,Play,2010
la-bte-4629,5,0,Play,1991
la-bte-488113,2,0,Play,2011
la-cage-aux-folles-4231,9,6,Musical,1984
la-cage-aux-folles-383058,4,2,Musical,2005
la-cage-aux-folles-484929,11,3,Musical,2010
lend-me-a-tenor-4535,7,2,Play,1989
lend-me-a-tenor-485548,3,0,Play,2010
colin-quinn-long-story-short-488845,1,0,Play,2011
looped-485513,1,0,Play,2010
million-dollar-quartet-485499,3,1,Musical,2010
next-fall-485029,2,0,Play,2010
promises-promises-485290,4,1,Musical,2010
