production,nominations,wins,type,year
the-farnsworth-invention-465456,1,1,Play,2008
the-homecoming-4648,1,1,Play,1992
the-homecoming-465255,3,0,Play,2008
the-pirate-queen-426183,1,0,Musical,2007
the-ritz-4223,0,0,Play,"May 02, 1983"
the-ritz-461300,0,0,Play,"Oct 11, 2007"
the-seafarer-462798,4,1,Play,2008
the-year-of-magical-thinking-448761,1,0,Play,2007
translations-4289,1,1,Play,1995
translations-446110,1,0,Play,2007
xanadu-457586,4,0,Musical,2008
a-chorus-line-3752,12,9,Musical,1976
a-chorus-line-402597,2,0,Musical,2007
barefoot-in-the-park-398479,0,0,Play,"Feb 16, 2006"
bridge-tunnel-408650,1,1,Play,2006
butley-428680,1,0,Play,2007
festen-402871,0,0,Play,"Apr 09, 2006"
grey-gardens-426592,10,3,Musical,2007
heartbreak-house-4243,6,0,Play,1984
heartbreak-house-438843,2,0,Play,2007
high-fidelity-446878,1,0,Musical,2007
hot-feet-413678,0,0,Musical,"Apr 30, 2006"
jay-johnson-the-two-and-only-408471,1,1,Special,2007
lestat-402876,2,0,Musical,2006
losing-louie-432540,0,0,Play,"Oct 12, 2006"
mary-poppins-408494,7,1,Musical,2007
rabbit-hole-398476,5,1,Play,2006
ring-of-fire-406669,0,0,Musical,"Mar 12, 2006"
shining-city-405825,2,0,Play,2006
the-apple-tree-450811,1,0,Musical,2007
the-best-little-whorehouse-in-texas-4066,7,2,Musical,1979
the-best-little-whorehouse-in-texas-4175,0,0,Musical,"May 31, 1982"
the-drowsy-chaperone-412775,13,5,Musical,2006
the-history-boys-400540,7,6,Play,2006
the-lieutenant-of-inishmore-414902,5,0,Play,2006
the-little-dog-laughed-421080,2,1,Play,2007
the-pajama-game-403179,9,2,Musical,2006
threepenny-opera-4252,1,0,Musical,1990
threepenny-opera-392567,2,0,Musical,2006
the-vertical-hour-442813,1,1,Play,2007
the-wedding-singer-402890,5,0,Musical,2006
three-days-of-rain-403589,2,0,Play,2006
a-naked-girl-on-the-appian-way-397636,0,0,Play,"Oct 06, 2005"
a-touch-of-the-poet-397702,1,0,Play,2006
absurd-person-singular-398474,0,0,Play,"Oct 18, 2005"
after-the-night-and-the-music-383009,0,0,Play,"Jun 01, 2005"
all-shook-up-383114,1,0,Musical,2005
brooklyn-boy-383006,1,0,Play,2005
chita-rivera-the-dancers-life-400387,1,0,Musical,2006
chitty-chitty-bang-bang-382080,5,0,Musical,2005
dirty-rotten-scoundrels-383315,11,1,Musical,2005
good-vibrations-388139,0,0,Musical,"Feb 02, 2005"
in-my-life-397825,0,0,Musical,"Oct 20, 2005"
jackie-mason-freshly-squeezed-392187,1,0,Special,2005
jersey-boys-394781,8,4,Musical,2006
julius-caesar-391569,0,0,Play,"Apr 03, 2005"
latinologues-401915,0,0,Play,"Oct 13, 2005"
lennon-392133,0,0,Musical,"Aug 14, 2005"
on-golden-pond-391510,2,0,Play,2005
primo-394730,1,1,Play,2006
seascape-402652,2,0,Play,2006
souvenir-401923,1,0,Play,2006
steel-magnolias-386798,1,0,Play,2005
the-25th-annual-putnam-county-spelling-bee-392859,6,2,Musical,2005
the-blonde-in-the-thunderbird-394734,0,0,Special,"Jul 17, 2005"
the-constant-wife-393019,3,0,Play,2006
the-light-in-the-piazza-390706,11,6,Musical,2005
the-odd-couple-4375,0,0,Play,"Jun 11, 1985"
the-odd-couple-394870,0,0,Play,"Oct 27, 2005"
the-pillowman-392093,6,2,Play,2005
the-woman-in-white-400390,1,0,Musical,2006
night-mother-4214,3,0,Play,1983
night-mother-382879,0,0,Play,"Nov 14, 2004"
after-the-fall-13593,1,0,Play,2005
assassins-13580,7,5,Musical,2004
bombay-dreams-13541,3,0,Musical,2004
drowning-crow-13507,0,0,Play,"Feb 19, 2004"
gem-of-the-ocean-386366,5,0,Play,2005
jumpers-13598,4,0,Play,2004
laugh-whore-384287,1,0,Special,2005
marc-salems-mind-games-on-broadway-381023,0,0,Special,"May 24, 2004"
pacific-overtures-383003,4,0,Musical,2005
prymate-377605,1,0,Play,2004
reckless-376882,1,0,Play,2005
sight-unseen-13506,1,0,Play,2005
sixteen-wounded-13595,1,0,Play,2004
sly-fox-13536,0,0,Play,"Apr 01, 2004"
the-good-body-388460,0,0,Special,"Nov 15, 2004"
the-rivals-390696,2,1,Play,2005
twelve-angry-men-382999,3,0,Play,2005
a-day-in-the-death-of-joe-egg-4365,4,2,Play,1985
a-day-in-the-death-of-joe-egg-13455,4,0,Play,2003
a-year-with-frog-and-toad-13478,3,0,Musical,2003
anna-in-the-tropics-13576,2,0,Play,2004
as-long-as-we-both-shall-laugh-13489,0,0,Special,"Apr 07, 2003"
avenue-q-13502,6,3,Musical,2004
big-river-4370,9,7,Musical,1985
big-river-13526,2,0,Musical,2004
bill-maher-victory-begins-at-home-13456,1,0,Special,2003
bobbi-boland-9499,0,0,Play,Never Officially Opened
goldas-balcony-13535,1,0,Play,2004
i-am-my-own-wife-13559,3,2,Play,2004
jackie-masons-laughing-room-only-13532,0,0,Musical,"Nov 19, 2003"
little-shop-of-horrors-13538,1,0,Musical,2004
ma-raineys-black-bottom-4346,3,0,Play,1985
ma-raineys-black-bottom-13462,1,0,Play,2003
never-gonna-dance-13518,2,0,Musical,2004
oldest-living-confederate-widow-tells-all-13522,0,0,Play,"Nov 17, 2003"
sexaholix-5653,1,0,Special,2002
sexaholix-13581,0,0,Special,"Nov 11, 2003"
six-dance-lessons-in-six-weeks-13521,0,0,Play,"Oct 29, 2003"
tartuffe-4794,0,0,Play,"May 30, 1996"
tartuffe-13308,2,0,Play,2003
the-boy-from-oz-13424,4,1,Musical,2004
the-caretaker-4397,0,0,Play,"Jan 30, 1986"
the-caretaker-13556,1,0,Play,2004
the-look-of-love-13403,0,0,Musical,"May 04, 2003"
the-play-what-i-wrote-3542,1,0,Special,2003
the-retreat-from-moscow-13527,3,0,Play,2004
the-violet-hour-13505,1,0,Play,2004
urban-cowboy-13479,2,0,Musical,2003
vincent-in-brixton-13480,2,0,Play,2003
wonderful-town-13560,5,1,Musical,2004
an-almost-holy-picture-13283,0,0,Play,"Feb 07, 2002"
bea-arthur-on-broadway-13298,1,0,Special,2002
celebrating-sondheim-13463,0,0,Special,"Dec 02, 2002"
dance-of-the-vampires-13164,0,0,Musical,"Dec 09, 2002"
dinner-at-eight-13435,4,0,Play,2003
elaine-stritch-at-liberty-13309,1,1,Special,2002
flower-drum-song-13310,3,0,Musical,2003
fortunes-fool-13288,3,2,Play,2002
frankie-and-johnny-in-the-clair-de-lune-13328,2,0,Play,2003
frankie-and-johnny-in-the-clair-de-lune-521362,2,0,Play,2020
hairspray-13371,13,8,Musical,2003
hollywood-arms-13416,1,1,Play,2003
im-not-rappaport-4384,3,3,Play,1986
im-not-rappaport-13369,0,0,Play,"Jul 25, 2002"
imaginary-friends-13421,1,0,Play,2003
man-of-la-mancha-4683,0,0,Musical,"Apr 24, 1992"
man-of-la-mancha-13422,3,0,Musical,2003
mornings-at-seven-3697,4,3,Play,1980
mornings-at-seven-13304,6,0,Play,2002
mostly-sondheim-13311,1,0,Special,2002
movin-out-13368,9,2,Musical,2003
one-mo-time-13302,0,0,Musical,"Mar 06, 2002"
our-town-4525,5,1,Play,1989
our-town-13438,1,0,Play,2003
prune-danish-13420,1,0,Special,2003
russell-simmons-def-poetry-jam-13436,1,1,Special,2003
say-goodnight-gracie-13425,1,0,Play,2003
sweet-smell-of-success-13278,7,1,Musical,2002
the-boys-from-syracuse-12918,0,0,Musical,"Aug 18, 2002"
the-goat-or-who-is-sylvia-13285,2,1,Play,2002
the-graduate-13279,0,0,Play,"Apr 04, 2002"
the-man-who-had-all-the-luck-12917,1,0,Play,2002
the-mystery-of-charles-dickens-13404,1,1,Play,2002
the-smell-of-the-kill-13333,0,0,Play,"Mar 26, 2002"
thoroughly-modern-millie-13138,11,6,Musical,2002
42nd-street-3963,8,2,Musical,1981
42nd-street-12864,8,2,Musical,2001
45-seconds-from-broadway-12916,0,0,Play,"Nov 11, 2001"
a-class-act-12818,5,0,Musical,2001
a-thousand-clowns-4795,0,0,Play,"Jul 14, 1996"
a-thousand-clowns-12872,0,0,Play,"Jul 11, 2001"
bells-are-ringing-12824,2,0,Musical,2001
blast-12839,2,1,Special,2001
by-jeeves-13272,1,1,Musical,2002
design-for-living-4340,1,0,Play,1985
design-for-living-12823,0,0,Play,"Mar 15, 2001"
dreamgirls-4152,13,6,Musical,1982
dreamgirls-4474,1,0,Musical,1988
george-gershwin-alone-12863,0,0,Play,"Apr 30, 2001"
judgment-at-nuremberg-12819,2,0,Play,2001
king-hedley-ii-12865,6,1,Play,2001
major-barbara-12874,1,0,Play,2002
mamma-mia-12925,5,0,Musical,2002
one-flew-over-the-cuckoos-nest-12825,2,1,Play,2001
qed-13181,0,0,Play,"Nov 18, 2001"
stones-in-his-pockets-12831,2,0,Play,2001
the-adventures-of-tom-sawyer-12838,2,0,Musical,2001
the-gathering-12840,0,0,Play,"Apr 24, 2001"
the-invention-of-love-12821,5,2,Play,2001
the-producers-12826,14,12,Musical,2001
thou-shalt-not-12881,2,0,Musical,2002
urinetown-12936,9,3,Musical,2002
contact-12487,7,4,Musical,2000
copenhagen-12519,3,3,Play,2000
dirty-blonde-12573,4,0,Play,2000
james-joyces-the-dead-12479,5,1,Musical,2000
riverdance--on-broadway-12489,0,0,Musical,"Mar 16, 2000"
seussical-12571,1,0,Musical,2001
squonk-12496,0,0,Special,"Feb 29, 2000"
taller-than-a-dwarf-12494,0,0,Play,"Apr 25, 2000"
the-dinner-party-12549,1,0,Play,2001
the-full-monty-12548,9,0,Musical,2001
the-green-bird-12493,2,0,Play,2000
the-man-who-came-to-dinner-3962,2,0,Play,1981
the-man-who-came-to-dinner-12512,1,0,Play,2001
the-rocky-horror-show-12547,4,0,Musical,2001
the-search-for-signs-of-intelligent-life-in-the-universe-4378,1,1,Play,1986
the-search-for-signs-of-intelligent-life-in-the-universe-12567,1,0,Play,2001
the-tale-of-the-allergists-wife-12550,3,0,Play,2001
the-wild-party-12484,7,0,Musical,2000
uncle-vanya-4285,0,0,Play,"Feb 23, 1995"
uncle-vanya-12488,2,0,Play,2000
wrong-mountain-12482,1,0,Play,2000
amadeus-4083,7,5,Play,1981
amadeus-10706,2,0,Play,2000
amys-view-7302,2,1,Play,1999
annie-get-your-gun-6287,3,2,Musical,1999
band-in-berlin-6734,0,0,Musical,"Mar 07, 1999"
dame-edna-the-royal-tour-9683,1,1,Special,2000
epic-proportions-9682,0,0,Play,"Sep 30, 1999"
it-aint-nothin-but-the-blues-8379,4,0,Musical,1999
kat-and-the-kings-11795,3,0,Musical,2000
marie-christine-9685,5,0,Musical,2000
minnelli-on-minnelli-12498,0,0,Special,"Dec 08, 1999"
much-ado-about-everything-10708,0,0,Special,"Dec 30, 1999"
night-must-fall-6732,1,0,Play,1999
not-about-nightingales-6483,6,1,Play,1999
putting-it-together-9688,1,0,Musical,2000
ring-round-the-moon-7298,2,0,Play,1999
saturday-night-fever-9684,0,0,Musical,"Oct 21, 1999"
tango-argentino-4380,3,0,Musical,1986
tango-argentino-12499,1,0,Musical,2000
the-civil-war-7295,2,0,Musical,1999
the-gershwins-fascinating-rhythm-7299,0,0,Musical,"Apr 25, 1999"
the-lion-in-winter-6733,1,0,Play,1999
the-lonesome-west-7303,4,0,Play,1999
the-rainmaker-9687,1,0,Play,2000
the-weir-7301,1,1,Play,1999
via-dolorosa-7296,1,1,Play,1999
voices-in-the-dark-11794,0,0,Play,"Aug 12, 1999"
waiting-in-the-wings-10707,2,0,Play,2000
youre-a-good-man-charlie-brown-5211,4,2,Musical,1999
a-moms-life-4879,1,0,Special,1990
ah-wilderness-4512,1,0,Play,1989
ah-wilderness-4870,2,0,Play,1998
an-evening-with-jerry-herman-4733,1,1,Musical,1999
fool-moon-4705,1,1,Special,1993
fool-moon-4311,0,0,Special,"Oct 29, 1995"
fool-moon-5703,1,1,Special,1999
getting-and-spending-4876,0,0,Play,"Oct 25, 1998"
golden-child-4864,3,0,Play,1998
high-society-4867,2,0,Musical,1998
jerry-seinfeld-live-on-broadway-4734,0,0,Play,"Aug 05, 1998"
mandy-patinkin-in-concert-mamaloshen-4878,0,0,Special,"Oct 13, 1998"
more-to-love-4874,0,0,Play,"Oct 15, 1998"
side-man-4731,2,2,Play,1999
swan-lake-4875,5,3,Musical,1999
the-beauty-queen-of-leenane-4725,6,4,Play,1998
the-blue-room-5700,1,1,Play,1999
the-capeman-5147,3,0,Musical,1998
the-deep-blue-sea-4862,0,0,Play,"Mar 26, 1998"
the-herbal-bed-4866,0,0,Play,"Apr 16, 1998"
the-judas-kiss-4869,0,0,Play,"Apr 29, 1998"
the-sound-of-music-4849,1,0,Musical,1998
wait-until-dark-4865,0,0,Play,"Apr 05, 1998"
an-american-daughter-4744,1,1,Play,1997
eugene-onegin-4730,0,0,Special,"Nov 19, 1997"
king-david-4728,0,0,Special,"May 18, 1997"
london-assurance-4752,3,0,Play,1997
men-are-from-mars-women-are-from-venus-5142,0,0,Special,"Jan 27, 1997"
play-on-4738,3,0,Musical,1997
steel-pier-4747,11,0,Musical,1997
street-corner-symphony-4762,0,0,Musical,"Nov 24, 1997"
the-diary-of-anne-frank-4764,2,0,Play,1998
the-last-night-of-ballyhoo-4736,3,1,Play,1997
the-lion-king-4761,11,6,Musical,1998
the-old-neighborhood-4844,1,0,Play,1998
the-sunshine-boys-4765,0,0,Play,"Dec 08, 1997"
the-three-sisters-4801,1,1,Play,1997
the-three-sisters-5144,1,0,Play,1997
the-young-man-from-atlanta-4741,3,0,Play,1997
titanic-4746,5,5,Musical,1997
a-funny-thing-happened-on-the-way-to-the-forum-4675,4,1,Musical,1996
a-midsummer-nights-dream-4272,2,0,Play,1996
an-ideal-husband-4793,3,0,Play,1996
bring-in-da-noise-bring-in-da-funk-4789,9,4,Musical,1996
buried-child-4792,5,0,Play,1996
bus-stop-4321,0,0,Play,"Feb 22, 1996"
david-copperfield-dreams-and-nightmares-5140,0,0,Special,"Dec 05, 1996"
getting-away-with-murder-4322,0,0,Play,"Mar 17, 1996"
its-a-slippery-slope-4803,0,0,Special,"Nov 10, 1996"
jack-a-night-on-the-town-with-john-barrymore-4717,0,0,Play,"Apr 24, 1996"
julia-sweeneys-god-said-ha-4806,1,0,Play,1997
love-thy-neighbor-4324,0,0,Special,"Mar 24, 1996"
once-upon-a-mattress-5141,1,0,Musical,1997
seven-guitars-4271,7,1,Play,1996
sex-and-longing-4799,1,1,Play,1997
state-fair-4270,2,0,Musical,1996
summer-and-smoke-4797,0,0,Play,"Sep 05, 1996"
taking-sides-4800,1,0,Play,1997
the-night-of-the-iguana-4513,0,0,Play,"Jun 26, 1988"
the-night-of-the-iguana-4323,0,0,Play,"Mar 21, 1996"
the-rehearsal-4807,3,0,Play,1997
a-month-in-the-country-4295,1,0,Play,1995
buttons-on-broadway-4301,0,0,Special,"Jun 08, 1995"
chronicle-of-a-death-foretold-4302,3,0,Musical,1996
danny-gans-on-broadway-the-man-of-many-voices-4315,0,0,Special,"Nov 08, 1995"
garden-district-4306,1,1,Play,1996
having-our-say-4293,3,0,Play,1995
indiscretions-4296,9,0,Play,1995
moon-over-buffalo-4304,2,0,Play,1996
my-thing-of-love-4300,0,0,Play,"May 03, 1995"
on-the-waterfront-4298,0,0,Play,"May 01, 1995"
patti-lupone-on-broadway-4307,0,0,Special,"Oct 12, 1995"
racing-demon-4317,1,0,Play,1996
rob-beckers-defending-the-caveman-4290,0,0,Special,"Mar 26, 1995"
sacrilege-4313,0,0,Play,"Nov 02, 1995"
smokey-joes-cafe-4286,5,0,Musical,1995
swinging-on-a-star-4309,1,0,Musical,1996
the-plays-the-thing-4303,0,0,Play,"Jul 09, 1995"
the-school-for-scandal-4316,1,1,Play,1996
the-tempest-4312,4,0,Play,1996
victor--victoria-4310,1,0,Musical,1996
a-little-more-magic-4596,0,0,Special,"Mar 17, 1994"
a-tuna-christmas-4280,1,0,Play,1995
an-inspector-calls-4605,5,4,Play,1994
broken-glass-4604,1,0,Play,1994
comedy-tonight-4281,0,0,Special,"Dec 18, 1994"
damn-yankees-4595,4,1,Musical,1994
grays-anatomy-4588,1,0,Special,1994
grays-anatomy-4729,0,0,Special,"Jun 05, 1994"
ian-mckellen-a-knight-out-at-the-lyceum-4611,0,0,Special,"Jun 22, 1994"
jackie-mason-politically-incorrect-4599,0,0,Special,"Apr 05, 1994"
philadelphia-here-i-come-4268,0,0,Play,"Sep 08, 1994"
show-boat-4219,3,0,Musical,1983
show-boat-4269,8,5,Musical,1995
the-best-little-whorehouse-goes-public-4609,1,0,Musical,1994
the-flowering-peach-4597,0,0,Play,"Mar 20, 1994"
the-flying-karamazov-brothers-do-the-impossible-4276,0,0,Special,"Nov 20, 1994"
the-inspector-general-4593,0,0,Play,"Jan 06, 1994"
the-rise-and-fall-of-little-voice-4607,0,0,Play,"May 01, 1994"
the-shadow-box-4277,1,0,Play,1995
twilight-los-angeles-1992-4601,2,0,Play,1994
whats-wrong-with-this-picture-4279,0,0,Play,"Dec 08, 1994"
a-grand-night-for-singing-4584,2,0,Musical,1994
abe-lincoln-in-illinois-4589,3,0,Play,1994
aint-broadway-grand-4713,1,0,Musical,1993
angels-in-america-millennium-approaches-4569,8,4,Play,1993
angels-in-america-millennium-approaches-515873,10,3,Play,2018
anna-christie-4702,5,1,Play,1993
any-given-day-4583,0,0,Play,"Nov 16, 1993"
blood-brothers-4716,6,0,Musical,1993
in-the-summer-house-4572,3,0,Play,1994
joseph-and-the-amazing-technicolor-dreamcoat-4158,7,0,Musical,1982
joseph-and-the-amazing-technicolor-dreamcoat-4581,0,0,Musical,"Nov 10, 1993"
kiss-of-the-spider-woman-4568,11,7,Musical,1993
laughter-on-the-23rd-floor-4586,0,0,Play,"Nov 22, 1993"
mixed-emotions-4575,0,0,Play,"Oct 12, 1993"
redwood-curtain-4710,3,1,Play,1993
shakespeare-for-my-father-4566,1,0,Play,1993
tango-pasion-4567,2,0,Musical,1993
the-boys-choir-of-harlem-and-friends-4703,0,0,Special,"Jan 19, 1993"
the-goodbye-girl-4706,5,0,Musical,1993
the-kentucky-cycle-4582,3,0,Play,1994
the-red-shoes-4591,2,0,Musical,1994
the-sisters-rosensweig-4707,5,1,Play,1993
the-song-of-jacob-zulu-4708,6,0,Play,1993
the-twilight-of-the-golds-4577,0,0,Play,"Oct 21, 1993"
the-whos-tommy-4715,10,5,Musical,1993
three-men-on-a-horse-4711,0,0,Play,"Apr 13, 1993"
timon-of-athens-4579,3,0,Play,1994
wilder-wilder-wilder-4714,1,0,Play,1993
wonderful-tennessee-4578,0,0,Play,"Oct 24, 1993"
3-from-brooklyn-4695,0,0,Special,"Nov 19, 1992"
a-little-hotel-on-the-side-4658,0,0,Play,"Jan 26, 1992"
a-small-family-business-4685,1,0,Play,1992
chinese-coffee-4689,0,0,Play,"Jun 24, 1992"
conversations-with-my-father-4669,3,1,Play,1992
crazy-for-you-4662,9,3,Musical,1992
crazy-he-calls-me-4659,0,0,Play,"Jan 27, 1992"
death-and-the-maiden-4665,1,1,Play,1992
five-guys-named-moe-4671,2,0,Musical,1992
four-baboons-adoring-the-sun-4666,4,0,Play,1992
gypsy-passion-4697,0,0,Musical,"Nov 17, 1992"
jakes-women-4668,1,0,Play,1992
jellys-last-jam-4684,11,3,Musical,1992
my-favorite-year-4699,3,1,Musical,1993
oba-oba-93-4693,0,0,Musical,"Oct 01, 1992"
salome-13498,0,0,Play,"Apr 30, 2003"
search-and-destroy-4664,1,0,Play,1992
shimada-4682,0,0,Play,"Apr 23, 1992"
solitary-confinement-4694,0,0,Play,"Nov 08, 1992"
someone-wholl-watch-over-me-4696,2,0,Play,1993
the-high-rollers-social-and-pleasure-club-4681,1,0,Musical,1992
the-master-builder-4667,0,0,Play,"Mar 19, 1992"
the-most-happy-fella-4661,4,1,Musical,1992
the-real-inspector-hound-and-the-fifteen-minute-hamlet-4691,0,0,Play,"Aug 13, 1992"
the-show-off-4851,0,0,Play,"Nov 05, 1992"
tommy-tune-tonite-4701,0,0,Special,"Dec 28, 1992"
two-shakespearean-actors-4656,5,0,Play,1992
two-trains-running-4678,4,1,Play,1992
andr-hellers-wonderhouse-4646,0,0,Musical,"Oct 20, 1991"
catskills-on-broadway-4652,0,0,Special,"Dec 05, 1991"
dancing-at-lughnasa-4647,7,3,Play,1992
getting-married-4644,0,0,Play,"Jun 26, 1991"
i-hate-hamlet-4638,1,0,Play,1991
lost-in-yonkers-4632,5,4,Play,1991
lucifers-child-4637,1,0,Play,1991
mule-bone-4630,1,1,Play,1991
nick-nora-4653,1,0,Musical,1992
on-borrowed-time-4645,1,0,Play,1992
our-countrys-good-4642,5,0,Play,1991
park-your-car-in-harvard-yard-4650,1,0,Play,1992
penn-teller-the-refrigerator-tour-4636,0,0,Special,"Apr 03, 1991"
taking-steps-4631,0,0,Play,"Feb 20, 1991"
the-big-love-4634,1,0,Play,1991
the-secret-garden-4640,7,3,Musical,1991
the-speed-of-darkness-4633,2,0,Play,1991
the-will-rogers-follies-4643,11,6,Musical,1991
a-change-in-the-heir-4563,0,0,Musical,"Apr 29, 1990"
accomplice-4562,1,1,Play,1990
aspects-of-love-4559,6,0,Musical,1990
jackie-mason-brand-new-4615,0,0,Special,"Oct 17, 1990"
lettice-and-lovage-4558,4,2,Play,1990
michael-feinstein-in-concert-piano-and-voice-4612,0,0,Special,"Oct 02, 1990"
miss-margaridas-way-4554,0,0,Play,"Feb 15, 1990"
oba-oba-90-4555,0,0,Musical,"Mar 15, 1990"
oh-kay-4618,2,0,Musical,1991
shadowlands-4623,2,1,Play,1991
shogun-the-musical-4624,2,0,Musical,1991
six-degrees-of-separation-4622,4,1,Play,1991
six-degrees-of-separation-511243,2,0,Play,2017
some-americans-abroad-4325,1,0,Play,1990
the-cemetery-club-4327,0,0,Play,"May 15, 1990"
the-grapes-of-wrath-4557,7,2,Play,1990
the-miser-4614,1,0,Play,1991
those-were-the-days-4621,2,0,Musical,1991
truly-blessed-4561,0,0,Musical,"Apr 22, 1990"
zoyas-apartment-4326,0,0,Play,"May 10, 1990"
a-few-good-men-4255,1,0,Play,1990
artist-descending-a-staircase-4258,2,0,Play,1990
black-and-blue-4528,9,3,Musical,1989
chu-chem-4539,0,0,Musical,"Apr 07, 1989"
city-of-angels-4261,11,6,Musical,1990
eastern-standard-4527,1,0,Play,1989
hizzoner-4532,0,0,Play,"Feb 23, 1989"
jerome-robbins-broadway-4533,9,6,Musical,1989
largely-new-york-4545,5,0,Play,1989
mandy-patinkin-in-concert-dress-casual-4546,1,0,Special,1990
mastergate-4246,1,1,Play,1990
metamorphosis-4536,2,0,Play,1989
orpheus-descending-4245,1,0,Play,1990
prince-of-central-park-4253,0,0,Musical,"Nov 09, 1989"
run-for-your-wife-4537,0,0,Play,"Mar 07, 1989"
shirley-valentine-4530,2,1,Play,1989
starmites-4543,5,0,Musical,1989
the-secret-rapture-4248,2,1,Play,1990
the-tenth-man-4260,0,0,Play,"Dec 10, 1989"
welcome-to-the-club-4540,2,0,Musical,1989
a-walk-in-the-woods-4495,2,0,Play,1988
aint-misbehavin-4058,5,3,Musical,1978
aint-misbehavin-12583,1,0,Musical,1989
canciones-de-mi-padre-4514,0,0,Musical,"Jul 12, 1988"
checkmates-4515,0,0,Play,"Aug 04, 1988"
jackie-masons-the-world-according-to-me-4436,1,1,Special,1987
jackie-masons-the-world-according-to-me-4506,0,0,Special,"May 02, 1988"
juno-and-the-paycock-4511,2,0,Play,1989
legs-diamond-4526,3,0,Musical,1989
rumors-4524,1,1,Play,1989
sarafina-4492,5,0,Musical,1988
serious-money-4493,1,0,Play,1988
spoils-of-war-4522,1,0,Play,1989
sweet-sue-4438,0,0,Play,"Jan 08, 1987"
the-devils-disciple-4523,0,0,Play,"Nov 13, 1988"
the-gospel-at-colonus-4498,1,0,Musical,1988
the-phantom-of-the-opera-4491,10,7,Musical,1988
a-month-of-sundays-4455,0,0,Play,"Apr 16, 1987"
asinamali-4467,1,0,Play,1987
barbara-cook-a-concert-for-the-theatre-4454,2,1,Special,1987
breaking-the-code-4488,3,0,Play,1988
coastal-disturbances-4442,3,0,Play,1987
death-and-the-kings-horseman-4441,0,0,Play,"Mar 01, 1987"
dont-get-god-started-4485,0,0,Musical,"Oct 29, 1987"
late-nite-comic-4482,0,0,Musical,"Oct 15, 1987"
mort-sahl-on-broadway-4478,0,0,Special,"Oct 11, 1987"
roza-4476,0,0,Musical,"Oct 01, 1987"
safe-sex-4450,0,0,Play,"Apr 05, 1987"
sleight-of-hand-4470,0,0,Play,"May 03, 1987"
stardust-4440,1,0,Musical,1987
starlight-express-4444,7,1,Musical,1987
the-comedy-of-errors-4471,0,0,Play,"May 31, 1987"
the-musical-comedy-murders-of-1940-4451,0,0,Play,"Apr 06, 1987"
the-nerd-4445,0,0,Play,"Mar 22, 1987"
the-regard-of-flight-4453,0,0,Special,"Apr 12, 1987"
a-little-like-magic-4429,0,0,Special,"Oct 26, 1986"
arsenic-and-old-lace-4415,0,0,Play,"Jun 26, 1986"
big-deal-4406,5,1,Musical,1986
corpse-4393,0,0,Play,"Jan 05, 1986"
execution-of-justice-4399,4,1,Play,1986
flamenco-puro-4426,0,0,Musical,"Oct 19, 1986"
honky-tonk-nights-4418,0,0,Musical,"Aug 07, 1986"
into-the-light-4428,0,0,Musical,"Oct 22, 1986"
jerome-kern-goes-to-hollywood-4395,1,0,Musical,1986
loot-4405,4,0,Play,1986
me-and-my-girl-4419,11,3,Musical,1987
mummenschanz-the-new-show-4413,0,0,Special,"Jun 17, 1986"
oh-coward-4431,2,0,Musical,1987
precious-sons-4401,1,0,Play,1986
raggedy-ann-4425,0,0,Musical,"Oct 16, 1986"
rags-4420,5,0,Musical,1987
rowan-atkinson-at-the-atkinson-4423,0,0,Special,"Oct 14, 1986"
so-long-on-lonely-street-4404,0,0,Play,"Apr 03, 1986"
social-security-4407,2,2,Play,1986
the-boys-in-autumn-4412,0,0,Play,"Apr 30, 1986"
the-life-and-adventures-of-nicholas-nickleby-4134,7,4,Play,1982
the-life-and-adventures-of-nicholas-nickleby-4421,1,0,Play,1987
the-petition-4408,2,0,Play,1986
wild-honey-4435,1,0,Play,1987
you-never-can-tell-4422,1,0,Play,1987
arent-we-all-4371,2,0,Play,1985
arms-and-the-man-4374,0,0,Play,"May 30, 1985"
as-is-4372,3,0,Play,1985
benefactors-4392,2,0,Play,1986
biloxi-blues-4366,3,3,Play,1985
blood-knot-4387,1,0,Play,1986
dancing-in-the-end-zone-4356,0,0,Play,"Jan 03, 1985"
harrigan-n-hart-4358,1,0,Musical,1985
hay-fever-4388,2,0,Play,1986
home-front-4355,0,0,Play,"Jan 02, 1985"
jerrys-girls-4389,1,0,Musical,1986
leader-of-the-pack-4367,1,0,Musical,1985
pack-of-lies-4359,1,0,Play,1985
requiem-for-a-heavyweight-4364,1,0,Play,1985
singin-in-the-rain-4376,2,0,Musical,1986
strange-interlude-4360,6,0,Play,1985
take-me-along-4368,1,0,Musical,1985
the-boys-of-winter-4385,1,0,Play,1986
the-loves-of-anatol-4363,1,0,Play,1985
the-octette-bridge-club-4362,3,0,Play,1985
wind-in-the-willows-4390,2,0,Musical,1986
a-woman-of-independent-means-4336,0,0,Play,"May 03, 1984"
accidental-death-of-an-anarchist-4352,1,0,Play,1985
alone-together-4349,0,0,Play,"Oct 21, 1984"
beethovens-tenth-4463,0,0,Play,"Apr 22, 1984"
end-of-the-world-4337,3,0,Play,1984
ian-mckellen-acting-shakespeare-4331,1,0,Play,1984
kipling-4345,1,0,Play,1985
much-ado-about-nothing-4347,7,1,Play,1985
oliver-4465,1,0,Musical,1984
open-admissions-4332,1,0,Play,1984
play-memory-4464,2,0,Play,1984
quilters-4344,5,0,Musical,1985
