"production","weeks","nominations","wins","year","type"
"ragtime-4843",108,12,4,"1998","Musical"
"rain-488176",38,1,1,"2011","Musical"
"reasons-to-be-pretty-482214",14,3,0,"2009","Play"
"red-486438",16,7,6,"2010","Play"
"redwood-curtain-4710",7,3,1,"1993","Play"
"rent-4791",645,10,4,"1996","Musical"
"ring-round-the-moon-7298",13,2,0,"1999","Play"
"riverdance--on-broadway-12489",78,0,0,"2000","Musical"
"rob-beckers-defending-the-caveman-4290",116,0,0,"1995","Special"
"rock-of-ages-482291",295,5,0,"2009","Musical"
"rocky-495233",27,4,1,"2014","Musical"
"rodgers-hammersteins-cinderella-493254",102,9,1,"2013","Musical"
"romance--romance-4505",39,5,0,"1988","Musical"
"romantic-comedy-3817",20,0,0,"1980","Play"
"rose-12572",8,1,0,"2000","Play"
"rose-4103",11,2,0,"1981","Play"
"rumors-4524",68,1,1,"1989","Play"
"russell-simmons-def-poetry-jam-13436",27,1,1,"2003","Special"
"saint-joan-515949",10,1,0,"2018","Play"
"sally-marrand-her-escorts-4608",10,1,0,"1994","Play"
"salome-13498",10,0,0,"2003","Play"
"sarafina-4492",76,5,0,"1988","Musical"
"saturday-night-fever-9684",66,0,0,"2000","Musical"
"say-goodnight-gracie-13425",49,1,0,"2003","Play"
"scenes-and-revelations-4126",6,0,0,"1982","Play"
"school-of-rock-the-musical-498973",167,4,0,"2016","Musical"
"seminar-490651",28,1,1,"2012","Play"
"seussical-12571",29,1,0,"2001","Musical"
"seven-guitars-4271",26,7,1,"1996","Play"
"shakespeare-for-my-father-4566",37,1,0,"1993","Play"
"she-loves-me-4570",50,9,1,"1994","Musical"
"she-loves-me-501744",21,8,1,"2016","Musical"
"shining-city-405825",13,2,0,"2006","Play"
"shirley-valentine-4530",42,2,1,"1989","Play"
"show-boat-4219",10,3,0,"1983","Musical"
"show-boat-4269",120,8,5,"1995","Musical"
"shrek-the-musical-477427",61,8,1,"2009","Musical"
"shucked-535831",33,9,1,"2023","Musical"
"shuffle-along-or-the-making-of-the-musical-sensation-of-1921-and-all-that-followed-499865",19,10,0,"2016","Musical"
"side-man-4731",68,2,2,"1999","Play"
"sight-unseen-13506",12,1,0,"2005","Play"
"singin-in-the-rain-4376",51,2,0,"1986","Musical"
"sister-act-488903",75,5,0,"2011","Musical"
"six-523485",113,8,2,"2022","Musical"
"six-degrees-of-separation-4622",248,4,1,"1991","Play"
"six-degrees-of-separation-511243",44,2,0,"2017","Play"
"skylight-497982",14,7,1,"2015","Play"
"slab-boys-4209",9,0,0,"1983","Play"
"sleight-of-hand-4470",5,0,0,"1988","Play"
"sly-fox-13536",25,0,0,"2004","Play"
"smokey-joes-cafe-4286",258,5,0,"1995","Musical"
"so-long-on-lonely-street-4404",8,0,0,"1986","Play"
"social-security-4407",52,2,2,"1986","Play"
"some-americans-abroad-4325",8,1,0,"1990","Play"
"some-like-it-hot-534531",51,13,4,"2023","Musical"
"someone-wholl-watch-over-me-4696",30,2,0,"1993","Play"
"something-rotten-498917",93,10,1,"2015","Musical"
"sondheim-on-sondheim-485091",15,2,0,"2010","Musical"
"song-and-dance-4377",62,8,1,"1986","Musical"
"sophisticated-ladies-4098",98,8,2,"1981","Musical"
"south-pacific-463981",130,11,7,"2008","Musical"
"spamalot-384262",202,12,3,"2005","Musical"
"speed-the-plow-4507",39,3,1,"1988","Play"
"spongebob-squarepants-515039",45,12,1,"2018","Musical"
"spring-awakening-448811",112,11,8,"2007","Musical"
"springsteen-on-broadway-515480",52,1,1,"2018","Special"
"st-marks-gospel-4121",3,0,0,"1982","Play"
"stardust-4440",15,1,0,"1987","Musical"
"starlight-express-4444",98,7,1,"1987","Musical"
"starmites-4543",13,5,0,"1989","Musical"
"state-fair-4270",15,2,0,"1996","Musical"
"steel-magnolias-386798",20,1,0,"2005","Play"
"steel-pier-4747",14,11,0,"1997","Musical"
"stones-in-his-pockets-12831",27,2,0,"2001","Play"
"strange-interlude-4360",12,6,0,"1985","Play"
"sugar-babies-3812",117,8,0,"1980","Musical"
"summer-1976-535224",11,1,0,"2023","Play"
"summer-517215",40,2,0,"2018","Musical"
"sunday-in-the-park-with-george-4335",80,10,2,"1984","Musical"
"sunday-in-the-park-with-george-457137",23,9,0,"2008","Musical"
"sunset-boulevard-4275",125,11,7,"1995","Musical"
"sunset-boulevard-511108",21,1,0,"2017","Musical"
"sweat-512126",17,2,0,"2017","Play"
"sweeney-todd-400379",48,6,2,"2006","Musical"
"sweeney-todd-535238",35,8,2,"2023","Musical"
"sweet-charity-378059",38,3,0,"2005","Musical"
"sweet-charity-4409",48,5,4,"1986","Musical"
"sweet-smell-of-success-13278",17,7,1,"2002","Musical"
"sweet-sue-4438",23,0,0,"1987","Play"
"swing-10705",63,5,0,"2000","Musical"
"take-me-out-13460",48,4,3,"2003","Play"
"take-me-out-522075",14,3,2,"2022","Play"
"talk-radio-448819",19,2,0,"2007","Play"
"taller-than-a-dwarf-12494",12,0,0,"2000","Play"
"talleys-folly-3685",20,5,1,"1980","Play"
"tango-pasion-4567",2,2,0,"1993","Musical"
"tartuffe-4794",7,0,0,"1997","Play"
"tarzan-405840",68,1,0,"2006","Musical"
"teaneck-tanzi-the-venus-flytrap-4218",5,0,0,"1983","Play"
"that-championship-season-489564",16,0,0,"2011","Play"
"the-25th-annual-putnam-county-spelling-bee-392859",145,6,2,"2005","Musical"
"the-39-steps-469215",100,6,2,"2008","Play"
"the-addams-family-484632",95,2,0,"2010","Musical"
"the-adventures-of-tom-sawyer-12838",7,2,0,"2001","Musical"
"the-assembled-parties-493256",19,3,1,"2013","Play"
"the-audience-497830",20,3,2,"2015","Play"
"the-babe-4338",2,0,0,"1985","Play"
"the-bands-visit-514964",79,11,10,"2018","Musical"
"the-beauty-queen-of-leenane-4725",48,6,4,"1998","Play"
"the-best-little-whorehouse-goes-public-4609",6,1,0,"1994","Musical"
"the-best-little-whorehouse-in-texas-4175",13,0,0,"1983","Musical"
"the-best-man-491515",27,2,0,"2012","Play"
"the-big-knife-492798",11,1,0,"2013","Play"
"the-book-of-mormon-488721",575,13,9,"2011","Musical"
"the-boy-from-oz-13424",51,4,1,"2004","Musical"
"the-boys-in-autumn-4412",12,0,0,"1986","Play"
"the-boys-in-the-band-516746",15,2,1,"2019","Play"
"the-bridges-of-madison-county-494897",18,4,2,"2014","Musical"
"the-caine-mutiny-court-martial-395623",6,1,0,"2006","Play"
"the-caine-mutiny-court-martial-4224",30,1,0,"1983","Play"
"the-cemetery-club-4327",9,0,0,"1991","Play"
"the-chairs-4863",12,6,0,"1998","Play"
"the-cher-show-518460",42,3,2,"2019","Musical"
"the-circle-4257",27,1,0,"1990","Play"
"the-civil-war-7295",12,2,0,"1999","Musical"
"the-color-purple-398535",119,10,1,"2006","Musical"
"the-color-purple-499928",61,4,2,"2016","Musical"
"the-columnist-490405",14,1,0,"2012","Play"
"the-comedy-of-errors-4471",11,0,0,"1988","Play"
"the-constant-wife-393019",13,3,0,"2006","Play"
"the-country-girl-470352",16,2,0,"2008","Play"
"the-cripple-of-inishmaan-496113",15,6,0,"2014","Play"
"the-crucible-13135",17,6,0,"2002","Play"
"the-crucible-502500",20,4,0,"2016","Play"
"the-deep-blue-sea-4862",12,0,0,"1998","Play"
"the-diary-of-anne-frank-4764",30,2,0,"1998","Play"
"the-dinner-party-12549",48,1,0,"2001","Play"
"the-dresser-4140",29,2,0,"1982","Play"
"the-drowsy-chaperone-412775",89,13,5,"2006","Musical"
"the-elephant-man-13289",10,2,0,"2002","Play"
"the-father-502234",13,2,1,"2016","Play"
"the-ferryman-518068",40,9,4,"2019","Play"
"the-floating-light-bulb-4112",10,2,1,"1981","Play"
"the-flying-karamazov-brothers-4226",7,0,0,"1984","Special"
"the-full-monty-12548",101,9,0,"2001","Musical"
"the-gathering-12840",5,0,0,"2001","Play"
"the-gershwins-fascinating-rhythm-7299",6,0,0,"1999","Musical"
"the-gin-game-4745",21,3,0,"1997","Play"
"the-glass-menagerie-390256",19,0,0,"2005","Play"
"the-glass-menagerie-508222",15,1,0,"2017","Play"
"the-goat-or-who-is-sylvia-13285",43,2,1,"2002","Play"
"the-golden-age-4461",6,2,0,"1984","Play"
"the-goodbye-girl-4706",27,5,0,"1993","Musical"
"the-gospel-at-colonus-4498",10,1,0,"1988","Musical"
"the-graduate-13279",51,0,0,"2002","Play"
"the-grapes-of-wrath-4557",25,7,2,"1990","Play"
"the-green-bird-12493",10,2,0,"2000","Play"
"the-guys-in-the-truck-4229",4,0,0,"1984","Play"
"the-heidi-chronicles-4538",79,6,2,"1989","Play"
"the-heidi-chronicles-498692",10,1,0,"2015","Play"
"the-heiress-4287",47,7,4,"1995","Play"
"the-high-rollers-social-and-pleasure-club-4681",4,1,0,"1992","Musical"
"the-history-boys-400540",25,7,6,"2006","Play"
"the-house-of-blue-leaves-4411",45,8,4,"1986","Play"
"the-house-of-blue-leaves-489428",12,1,0,"2011","Play"
"the-humans-503915",50,6,4,"2016","Play"
"the-iceman-cometh-515678",15,8,0,"2018","Play"
"the-iceman-cometh-7300",16,5,0,"1999","Play"
"the-importance-of-being-earnest-488272",28,3,1,"2011","Play"
"the-invention-of-love-12821",18,5,2,"2001","Play"
"the-judas-kiss-4869",15,0,0,"1998","Play"
"the-king-and-i-4357",27,3,1,"1985","Musical"
"the-king-and-i-4673",101,8,4,"1996","Musical"
"the-king-and-i-497593",68,9,4,"2015","Musical"
"the-last-night-of-ballyhoo-4736",73,3,1,"1997","Play"
"the-lieutenant-of-inishmore-414902",20,5,0,"2006","Play"
"the-life-4748",61,12,2,"1997","Musical"
"the-light-in-the-piazza-390706",68,11,6,"2005","Musical"
"the-lion-in-winter-6733",15,1,0,"1999","Play"
"the-lion-king-4761",1275,11,6,"1998","Musical"
"the-little-foxes-4117",18,5,0,"1981","Play"
"the-little-foxes-4749",11,2,0,"1997","Play"
"the-little-foxes-508257",14,6,2,"2017","Play"
"the-little-mermaid-456222",94,2,0,"2008","Musical"
"the-little-prince-533150",6,0,0,"2022","Special"
"the-lonesome-west-7303",8,4,0,"1999","Play"
"the-look-of-love-13403",11,0,0,"2004","Musical"
"the-lyons-491879",13,1,0,"2012","Play"
"the-man-who-came-to-dinner-3962",14,2,0,"1981","Play"
"the-man-who-had-all-the-luck-12917",11,1,0,"2002","Play"
"the-man-who-had-three-arms-4216",7,0,0,"1983","Play"
"the-mikado-4449",5,2,0,"1987","Musical"
"the-minutes-525378",19,1,0,"2022","Play"
"the-moony-shapiro-songbook-4114",2,1,0,"1981","Musical"
"the-most-happy-fella-4661",32,4,1,"1992","Musical"
"the-music-man-12495",91,8,0,"2000","Musical"
"the-music-man-13314",3,1,1,"1981","Musical"
"the-music-man-526102",54,6,0,"2022","Musical"
"the-musical-comedy-murders-of-1940-4451",18,0,0,"1987","Play"
"the-mystery-of-charles-dickens-13404",4,1,1,"2002","Play"
"the-mystery-of-edwin-drood-4386",79,9,5,"1986","Musical"
"the-nance-493671",21,5,3,"2013","Play"
"the-nerd-4445",57,0,0,"1987","Play"
"the-night-of-the-iguana-4323",11,0,0,"1996","Play"
"the-normal-heart-489853",12,5,3,"2011","Play"
"the-norman-conquests-living-together-483079",16,5,1,"2009","Play"
"the-odd-couple-394870",35,0,0,"2006","Play"
"the-odd-couple-4375",38,0,0,"1986","Play"
"the-old-neighborhood-4844",26,1,0,"1998","Play"
"the-pajama-game-403179",22,9,2,"2006","Musical"
"the-people-in-the-picture-489215",12,1,0,"2011","Musical"
"the-petition-4408",11,2,0,"1986","Play"
"the-phantom-of-the-opera-4491",1755,10,7,"1988","Musical"
"the-philanthropist-481454",12,0,0,"2009","Play"
"the-piano-lesson-4560",42,5,0,"1990","Play"
"the-pillowman-392093",26,6,2,"2005","Play"
"the-pirate-queen-426183",15,1,0,"2007","Musical"
"the-pirates-of-penzance-4088",101,7,3,"1981","Musical"
"the-play-that-goes-wrong-511410",96,1,1,"2017","Play"
"the-play-what-i-wrote-3542",15,1,0,"2003","Special"
"the-price-4688",9,1,0,"1993","Play"
"the-price-507986",13,1,0,"2017","Play"
"the-producers-12826",318,14,12,"2001","Musical"
"the-prom-518117",42,6,0,"2019","Musical"
"the-rascals-once-upon-a-dream-494144",3,0,0,"2013","Special"
"the-real-thing-12492",20,5,3,"2000","Play"
"the-real-thing-4330",73,7,5,"1984","Play"
"the-realistic-joneses-496249",17,1,1,"2014","Play"
"the-ride-down-mt-morgan-12490",18,2,0,"2000","Play"
"the-rink-4333",30,5,1,"1984","Musical"
"the-rise-and-fall-of-little-voice-4607",4,0,0,"1995","Play"
"the-ritz-4223",2,0,0,"1984","Play"
"the-rocky-horror-show-12547",59,4,0,"2001","Musical"
"the-rose-tattoo-4297",11,1,0,"1995","Play"
"the-scarlet-pimpernel-12566",103,3,0,"1998","Musical"
"the-search-for-signs-of-intelligent-life-in-the-universe-12567",28,1,0,"2001","Play"
"the-search-for-signs-of-intelligent-life-in-the-universe-4378",55,1,1,"1986","Play"
"the-secret-garden-4640",92,7,3,"1991","Musical"
"the-sign-in-sidney-brusteins-window-536893",10,2,1,"2023","Play"
"the-sisters-rosensweig-4707",72,5,1,"1993","Play"
"the-skin-of-our-teeth-532477",9,6,1,"2022","Play"
"the-song-of-jacob-zulu-4708",8,6,0,"1993","Play"
"the-sound-of-music-4849",72,1,0,"1998","Musical"
"the-sunshine-boys-4765",31,0,0,"1998","Play"
"the-tale-of-the-allergists-wife-12550",101,3,0,"2001","Play"
"the-tap-dance-kid-4329",89,7,2,"1984","Musical"
"the-testament-of-mary-493968",6,3,0,"2013","Play"
"the-thanksgiving-play-536114",12,1,1,"2023","Play"
"the-trip-to-bountiful-493812",29,4,1,"2013","Play"
"the-velocity-of-autumn-495917",5,1,0,"2014","Play"
"the-visit-499129",12,5,0,"2015","Musical"
"the-wedding-singer-402890",40,5,0,"2006","Musical"
"the-weir-7301",36,1,1,"1999","Play"
"the-whos-tommy-4715",116,10,5,"1993","Musical"
"the-wild-party-12484",14,7,0,"2000","Musical"
"the-will-rogers-follies-4643",127,11,6,"1991","Musical"
"the-wiz-4339",3,0,0,"1985","Musical"
"the-year-of-magical-thinking-448761",24,1,0,"2007","Play"
"the-young-man-from-atlanta-4741",13,3,0,"1997","Play"
"thoroughly-modern-millie-13138",118,11,6,"2002","Musical"
"three-days-of-rain-403589",12,2,0,"2006","Play"
"three-men-on-a-horse-4711",8,0,0,"1993","Play"
"three-tall-women-515801",17,6,2,"2018","Play"
"threepenny-opera-392567",14,2,0,"2006","Musical"
"thurgood-471162",19,1,0,"2008","Play"
"titanic-4746",105,5,5,"1997","Musical"
"to-kill-a-mockingbird-518644",86,9,1,"2019","Play"
"tootsie-519394",41,10,2,"2019","Musical"
"top-girls-460191",11,1,0,"2008","Play"
"topdog--underdog-13325",22,2,0,"2002","Play"
"torch-song-trilogy-4176",608,2,2,"1983","Play"
"total-abandon-4220",3,0,0,"1983","Play"
"travesties-515749",12,4,0,"2018","Play"
"tru-4550",40,1,1,"1990","Play"
"true-west-12483",24,3,0,"2000","Play"
"truly-blessed-4561",6,0,0,"1990","Musical"
"tuck-everlasting-501949",9,1,0,"2016","Musical"
"twelve-angry-men-382999",33,3,0,"2005","Play"
"twentieth-century-12294",14,2,0,"2004","Play"
"twilight-los-angeles-1992-4601",11,2,0,"1994","Play"
"two-trains-running-4678",21,4,1,"1992","Play"
"uncle-vanya-12488",10,2,0,"2000","Play"
"urban-cowboy-13479",12,2,0,"2003","Musical"
"urinetown-12936",125,9,3,"2002","Musical"
"vanya-and-sonia-and-masha-and-spike-494053",25,6,1,"2013","Play"
"venus-in-fur-490533",29,2,1,"2012","Play"
"via-dolorosa-7296",15,1,1,"1999","Play"
"victor--victoria-4310",95,1,0,"1996","Musical"
"vincent-in-brixton-13480",12,2,0,"2003","Play"
"violet-495831",20,4,0,"2014","Musical"
"wait-until-dark-4865",14,0,0,"1998","Play"
"waiting-for-godot-481504",15,3,0,"2009","Play"
"waiting-in-the-wings-10707",26,2,0,"2000","Play"
"waitress-502861",198,4,0,"2016","Musical"
"wallys-cafe-4123",6,0,0,"1982","Play"
"war-horse-488128",95,5,5,"2011","Play"
"war-paint-510889",34,3,0,"2017","Musical"
"well-406665",10,2,0,"2006","Play"
"west-side-story-3684",26,2,0,"1980","Musical"
"west-side-story-481437",97,4,1,"2009","Musical"
"what-the-constitution-means-to-me-521025",24,2,0,"2019","Play"
"whodunnit-4201",22,1,0,"1983","Play"
"whos-afraid-of-virginia-woolf-384288",26,6,1,"2005","Play"
"wicked-13485",965,10,3,"2004","Musical"
"wilder-wilder-wilder-4714",6,1,0,"1993","Play"
"woman-of-the-year-4104",100,6,4,"1981","Musical"
"wonderful-town-13560",65,5,1,"2004","Musical"
"wonderland-488710",8,0,0,"2011","Musical"
"xanadu-457586",71,4,0,"2008","Musical"
"you-cant-take-it-with-you-4215",160,1,0,"1983","Play"
"your-arms-too-short-to-box-with-god-3958",19,1,0,"1981","Musical"
"youre-a-good-man-charlie-brown-5211",21,4,2,"1999","Musical"
"zorba-4234",45,1,1,"1984","Musical"
"zoyas-apartment-4326",8,0,0,"1991","Play"
